LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
22.600000,1444191.000,30883,3,MZ,1,100,-32
22.639000,1444230.000,30883,3,MZ,1,100,-31
22.678000,1444269.000,30883,3,MZ,1,100,-32
22.710000,1444301.000,30899,2,MZ,1,100,-32
22.742000,1444333.000,30899,2,MZ,1,100,-33
22.782000,1444373.000,30916,3,MZ,1,100,-32
22.822000,1444413.000,30916,3,MZ,1,100,-33
22.862000,1444453.000,30916,3,MZ,1,100,-33
22.901000,1444492.000,30932,3,MZ,1,100,-33
22.940000,1444531.000,30932,3,MZ,1,100,-33
22.979000,1444570.000,30932,3,MZ,1,100,-34
23.018000,1444609.000,30951,2,MZ,1,100,-33
23.057000,1444648.000,30951,2,MZ,1,100,-34
23.096000,1444687.000,30969,3,MZ,1,100,-35
23.135000,1444726.000,30969,3,MZ,1,100,-34
23.174000,1444765.000,30969,3,MZ,1,100,-35
23.213000,1444804.000,30987,2,MZ,1,100,-35
23.252000,1444843.000,30987,2,MZ,1,100,-34
23.290333,1444881.333,31003,3,MZ,1,100,-35
23.328667,1444919.667,31003,3,MZ,1,100,-36
23.367000,1444958.000,31003,3,MZ,1,100,-34
23.407000,1444998.000,31019,3,MZ,1,100,-35
23.447000,1445038.000,31019,3,MZ,1,100,-34
23.487000,1445078.000,31019,3,MZ,1,100,-35
23.526000,1445117.000,31036,2,MZ,1,100,-36
23.565000,1445156.000,31036,2,MZ,1,100,-35
23.604000,1445195.000,31053,3,MZ,1,100,-35
23.643000,1445234.000,31053,3,MZ,1,100,-36
23.682000,1445273.000,31053,3,MZ,1,100,-34
23.721000,1445312.000,31069,2,MZ,1,100,-35
23.760000,1445351.000,31069,2,MZ,1,100,-36
23.799000,1445390.000,31086,3,MZ,1,100,-34
23.838000,1445429.000,31086,3,MZ,1,100,-34
23.877000,1445468.000,31086,3,MZ,1,100,-34
23.916000,1445507.000,31104,3,MZ,1,100,-36
23.955000,1445546.000,31104,3,MZ,1,100,-35
23.994000,1445585.000,31104,3,MZ,1,100,-34
24.034000,1445625.000,31121,2,MZ,1,100,-34
24.074000,1445665.000,31121,2,MZ,1,100,-34
24.112333,1445703.333,31137,3,MZ,1,100,-33
24.150667,1445741.667,31137,3,MZ,1,100,-34
24.189000,1445780.000,31137,3,MZ,1,100,-34
24.228000,1445819.000,31155,2,MZ,1,100,-33
24.267000,1445858.000,31155,2,MZ,1,100,-32
24.306000,1445897.000,31170,3,MZ,1,100,-33
24.345000,1445936.000,31170,3,MZ,1,100,-33
24.384000,1445975.000,31170,3,MZ,1,100,-32
24.418667,1446009.667,31187,3,MZ,1,100,-34
24.453333,1446044.333,31187,3,MZ,1,100,-33
24.488000,1446079.000,31187,3,MZ,1,100,-34
24.527000,1446118.000,31204,3,MZ,1,100,-34
24.566000,1446157.000,31204,3,MZ,1,100,-34
24.605000,1446196.000,31204,3,MZ,1,100,-35
24.644000,1446235.000,31221,2,MZ,1,100,-34
24.683000,1446274.000,31221,2,MZ,1,100,-34
24.721333,1446312.333,31237,3,MZ,1,100,-34
24.759667,1446350.667,31237,3,MZ,1,100,-32
24.798000,1446389.000,31237,3,MZ,1,100,-31
24.837000,1446428.000,31254,2,MZ,1,100,-30
24.876000,1446467.000,31254,2,MZ,1,100,-28
24.915000,1446506.000,31272,3,MZ,1,100,-26
24.954000,1446545.000,31272,3,MZ,1,100,-25
24.993000,1446584.000,31272,3,MZ,1,100,-24
25.033000,1446624.000,31289,3,MZ,1,100,-23
25.073000,1446664.000,31289,3,MZ,1,100,-22
25.113000,1446704.000,31289,3,MZ,1,100,-21
25.152000,1446743.000,31306,2,MZ,1,100,-20
25.191000,1446782.000,31306,2,MZ,1,100,-18
25.230000,1446821.000,31322,3,MZ,1,100,-18
25.269000,1446860.000,31322,3,MZ,1,100,-18
25.308000,1446899.000,31322,3,MZ,1,100,-18
25.346500,1446937.500,31340,2,MZ,1,100,-17
25.385000,1446976.000,31340,2,MZ,1,100,-16
25.423667,1447014.667,31357,3,MZ,1,100,-15
25.462333,1447053.333,31357,3,MZ,1,100,-14
25.501000,1447092.000,31357,3,MZ,1,100,-15
25.540000,1447131.000,31374,3,MZ,1,100,-17
25.579000,1447170.000,31374,3,MZ,1,100,-15
25.618000,1447209.000,31374,3,MZ,1,100,-17
25.658000,1447249.000,31391,2,MZ,1,100,-18
25.698000,1447289.000,31391,2,MZ,1,100,-18
25.737333,1447328.333,31406,3,MZ,1,100,-18
25.776667,1447367.667,31406,3,MZ,1,100,-18
25.816000,1447407.000,31406,3,MZ,1,100,-19
25.855000,1447446.000,31424,2,MZ,1,100,-19
25.894000,1447485.000,31424,2,MZ,1,100,-18
25.933000,1447524.000,31442,3,MZ,1,100,-20
25.972000,1447563.000,31442,3,MZ,1,100,-18
26.011000,1447602.000,31442,3,MZ,1,100,-16
26.050000,1447641.000,31459,3,MZ,1,100,-16
26.089000,1447680.000,31459,3,MZ,1,100,-16
26.128000,1447719.000,31459,3,MZ,1,100,-14
26.159500,1447750.500,31475,2,MZ,1,100,-13
26.191000,1447782.000,31475,2,MZ,1,100,-14
26.230000,1447821.000,31492,3,MZ,1,100,-12
26.269000,1447860.000,31492,3,MZ,1,100,-12
26.308000,1447899.000,31492,3,MZ,1,100,-14
26.347000,1447938.000,31508,3,MZ,1,100,-14
26.386000,1447977.000,31508,3,MZ,1,100,-14
26.425000,1448016.000,31508,3,MZ,1,100,-14
26.464000,1448055.000,31526,2,MZ,1,100,-16
26.503000,1448094.000,31526,2,MZ,1,100,-16
26.542000,1448133.000,31542,3,MZ,1,100,-18
26.581000,1448172.000,31542,3,MZ,1,100,-18
26.620000,1448211.000,31542,3,MZ,1,100,-19
26.659000,1448250.000,31558,2,MZ,1,100,-18
26.698000,1448289.000,31558,2,MZ,1,100,-18
26.736333,1448327.333,31575,3,MZ,1,100,-21
26.774667,1448365.667,31575,3,MZ,1,100,-21
26.813000,1448404.000,31575,3,MZ,1,100,-22
26.852000,1448443.000,31594,3,MZ,1,100,-24
26.891000,1448482.000,31594,3,MZ,1,100,-23
26.930000,1448521.000,31594,3,MZ,1,100,-24
26.968500,1448559.500,31612,2,MZ,1,100,-25
27.007000,1448598.000,31612,2,MZ,1,100,-26
27.045667,1448636.667,31628,3,MZ,1,100,-28
27.084333,1448675.333,31628,3,MZ,1,100,-27
27.123000,1448714.000,31628,3,MZ,1,100,-29
27.162000,1448753.000,31645,2,MZ,1,100,-28
27.201000,1448792.000,31645,2,MZ,1,100,-28
27.241000,1448832.000,31662,3,MZ,1,100,-29
27.281000,1448872.000,31662,3,MZ,1,100,-29
27.321000,1448912.000,31662,3,MZ,1,100,-29
27.360333,1448951.333,31678,3,MZ,1,100,-29
27.399667,1448990.667,31678,3,MZ,1,100,-29
27.439000,1449030.000,31678,3,MZ,1,100,-26
27.478000,1449069.000,31696,2,MZ,1,100,-26
27.517000,1449108.000,31696,2,MZ,1,100,-25
27.555667,1449146.667,31711,3,MZ,1,100,-24
27.594333,1449185.333,31711,3,MZ,1,100,-21
27.633000,1449224.000,31711,3,MZ,1,100,-19
27.672000,1449263.000,31728,2,MZ,1,100,-18
27.711000,1449302.000,31728,2,MZ,1,100,-15
27.750000,1449341.000,31745,3,MZ,1,100,-14
27.789000,1449380.000,31745,3,MZ,1,100,-13
27.828000,1449419.000,31745,3,MZ,1,100,-11
27.863333,1449454.333,31764,3,MZ,1,100,-12
27.898667,1449489.667,31764,3,MZ,1,100,-10
27.934000,1449525.000,31764,3,MZ,1,100,-11
27.973000,1449564.000,31779,2,MZ,1,100,-10
28.012000,1449603.000,31779,2,MZ,1,100,-11
28.051000,1449642.000,31797,3,MZ,1,100,-12
28.090000,1449681.000,31797,3,MZ,1,100,-13
28.129000,1449720.000,31797,3,MZ,1,100,-13
28.167333,1449758.333,31813,3,MZ,1,100,-15
28.205667,1449796.667,31813,3,MZ,1,100,-16
28.244000,1449835.000,31813,3,MZ,1,100,-18
28.284000,1449875.000,31830,2,MZ,1,100,-19
28.324000,1449915.000,31830,2,MZ,1,100,-20
28.362333,1449953.333,31846,3,MZ,1,100,-22
28.400667,1449991.667,31846,3,MZ,1,100,-24
28.439000,1450030.000,31846,3,MZ,1,100,-24
28.478000,1450069.000,31863,2,MZ,1,100,-25
28.517000,1450108.000,31863,2,MZ,1,100,-23
28.556000,1450147.000,31881,3,MZ,1,100,-26
28.595000,1450186.000,31881,3,MZ,1,100,-25
28.634000,1450225.000,31881,3,MZ,1,100,-25
28.673000,1450264.000,31898,3,MZ,1,100,-25
28.712000,1450303.000,31898,3,MZ,1,100,-24
28.751000,1450342.000,31898,3,MZ,1,100,-24
28.790000,1450381.000,31917,2,MZ,1,100,-23
28.829000,1450420.000,31917,2,MZ,1,100,-22
28.868000,1450459.000,31933,3,MZ,1,100,-21
28.907000,1450498.000,31933,3,MZ,1,100,-20
28.946000,1450537.000,31933,3,MZ,1,100,-20
28.984500,1450575.500,31949,2,MZ,1,100,-18
29.023000,1450614.000,31949,2,MZ,1,100,-18
29.061667,1450652.667,31967,3,MZ,1,100,-18
