LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
8.386000,1429977.000,28503,2,AZ,1,100,-0.297
8.425000,1430016.000,28519,3,AZ,1,100,-0.295
8.464000,1430055.000,28519,3,AZ,1,100,-0.293
8.503000,1430094.000,28519,3,AZ,1,100,-0.301
8.542000,1430133.000,28537,3,AZ,1,100,-0.298
8.581000,1430172.000,28537,3,AZ,1,100,-0.295
8.620000,1430211.000,28537,3,AZ,1,100,-0.290
8.659000,1430250.000,28553,2,AZ,1,100,-0.293
8.698000,1430289.000,28553,2,AZ,1,100,-0.295
8.737667,1430328.667,28570,3,AZ,1,100,-0.298
8.777333,1430368.333,28570,3,AZ,1,100,-0.299
8.817000,1430408.000,28570,3,AZ,1,100,-0.300
8.856500,1430447.500,28585,2,AZ,1,100,-0.298
8.896000,1430487.000,28585,2,AZ,1,100,-0.295
8.930667,1430521.667,28603,3,AZ,1,100,-0.298
8.965333,1430556.333,28603,3,AZ,1,100,-0.295
9.000000,1430591.000,28603,3,AZ,1,100,-0.295
9.038667,1430629.667,28619,3,AZ,1,100,-0.300
9.077333,1430668.333,28619,3,AZ,1,100,-0.296
9.116000,1430707.000,28619,3,AZ,1,100,-0.304
9.155000,1430746.000,28636,2,AZ,1,100,-0.291
9.194000,1430785.000,28636,2,AZ,1,100,-0.302
9.233667,1430824.667,28653,3,AZ,1,100,-0.299
9.273333,1430864.333,28653,3,AZ,1,100,-0.304
9.313000,1430904.000,28653,3,AZ,1,100,-0.305
9.352000,1430943.000,28671,3,AZ,1,100,-0.291
9.391000,1430982.000,28671,3,AZ,1,100,-0.293
9.430000,1431021.000,28671,3,AZ,1,100,-0.302
9.469000,1431060.000,28687,2,AZ,1,100,-0.303
9.508000,1431099.000,28687,2,AZ,1,100,-0.306
9.547000,1431138.000,28705,3,AZ,1,100,-0.299
9.586000,1431177.000,28705,3,AZ,1,100,-0.294
9.625000,1431216.000,28705,3,AZ,1,100,-0.299
9.663667,1431254.667,28721,3,AZ,1,100,-0.305
9.702333,1431293.333,28721,3,AZ,1,100,-0.300
9.741000,1431332.000,28721,3,AZ,1,100,-0.298
9.781000,1431372.000,28737,2,AZ,1,100,-0.298
9.821000,1431412.000,28737,2,AZ,1,100,-0.294
9.860333,1431451.333,28754,3,AZ,1,100,-0.303
9.899667,1431490.667,28754,3,AZ,1,100,-0.295
9.939000,1431530.000,28754,3,AZ,1,100,-0.298
9.978000,1431569.000,28771,2,AZ,1,100,-0.300
10.017000,1431608.000,28771,2,AZ,1,100,-0.292
10.056000,1431647.000,28787,3,AZ,1,100,-0.297
10.095000,1431686.000,28787,3,AZ,1,100,-0.300
10.134000,1431725.000,28787,3,AZ,1,100,-0.304
10.173000,1431764.000,28805,3,AZ,1,100,-0.300
10.212000,1431803.000,28805,3,AZ,1,100,-0.299
10.251000,1431842.000,28805,3,AZ,1,100,-0.296
10.290000,1431881.000,28822,2,AZ,1,100,-0.298
10.329000,1431920.000,28822,2,AZ,1,100,-0.298
10.368000,1431959.000,28839,3,AZ,1,100,-0.306
10.407000,1431998.000,28839,3,AZ,1,100,-0.292
10.446000,1432037.000,28839,3,AZ,1,100,-0.289
10.484500,1432075.500,28855,2,AZ,1,100,-0.293
10.523000,1432114.000,28855,2,AZ,1,100,-0.305
10.561667,1432152.667,28873,3,AZ,1,100,-0.309
10.600333,1432191.333,28873,3,AZ,1,100,-0.291
10.639000,1432230.000,28873,3,AZ,1,100,-0.293
10.673667,1432264.667,28888,3,AZ,1,100,-0.293
10.708333,1432299.333,28888,3,AZ,1,100,-0.288
10.743000,1432334.000,28888,3,AZ,1,100,-0.278
10.782500,1432373.500,28905,2,AZ,1,100,-0.291
10.822000,1432413.000,28905,2,AZ,1,100,-0.297
10.861667,1432452.667,28922,3,AZ,1,100,-0.308
10.901333,1432492.333,28922,3,AZ,1,100,-0.285
10.941000,1432532.000,28922,3,AZ,1,100,-0.274
