LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1671982095.309040,428393,1112,1,SA,1,100,0.000226
1671982096.175943,429240,1209,1,SA,1,100,0.000065
1671982096.440005,429498,1260,1,SA,1,100,0.000069
1671982096.838146,429887,1309,1,SA,1,100,0.000081
1671982097.037728,430082,1342,1,SA,1,100,0.000077
1671982097.770553,430798,1464,1,SA,1,100,0.000073
1671982098.034616,431056,1530,1,SA,1,100,0.000108
1671982098.436851,431449,1566,1,SA,1,100,0.000046
1671982098.899472,431901,1646,1,SA,1,100,0.000085
1671982099.302731,432295,1714,1,SA,1,100,0.000058
1671982099.566793,432553,1747,1,SA,1,100,0.000112
1671982100.166563,433139,1860,1,SA,1,100,0.000163
1671982100.766333,433725,1927,1,SA,1,100,0.000039
1671982101.097947,434049,1978,1,SA,1,100,0.000031
1671982101.691576,434629,2091,1,SA,1,100,0.000031
1671982102.026260,434956,2189,1,SA,1,100,0.000231
1671982102.561549,435479,2223,1,SA,1,100,0.000059
1671982102.761132,435674,2257,1,SA,1,100,0.000098
1671982103.023147,435930,2308,1,SA,1,100,0.000074
1671982103.489863,436386,2377,1,SA,1,100,0.000180
1671982103.820453,436709,2425,1,SA,1,100,0.000130
1671982104.086562,436969,2474,1,SA,1,100,0.000142
1671982104.416129,437291,2510,1,SA,1,100,0.000020
1671982105.417110,438269,2686,1,SA,1,100,0.000130
1671982105.816275,438659,2738,1,SA,1,100,0.000063
1671982106.613580,439438,2852,1,SA,1,100,0.000004
1671982106.811115,439631,2901,1,SA,1,100,0.000059
1671982107.280901,440090,2983,1,SA,1,100,0.000103
1671982107.880671,440676,3049,1,SA,1,100,0.000016
1671982108.080253,440871,3083,1,SA,1,100,0.000048
1671982108.477371,441259,3189,1,SA,1,100,0.000088
1671982109.542832,442300,3336,1,SA,1,100,0.000076
1671982109.878540,442628,3384,1,SA,1,100,0.000160
1671982110.474216,443210,3484,1,SA,1,100,0.000108
1671982110.872357,443599,3567,1,SA,1,100,0.000149
1671982111.338049,444054,3599,1,SA,1,100,0.000080
1671982111.805787,444511,3681,1,SA,1,100,0.000113
1671982112.073944,444773,3717,1,SA,1,100,0.000024
1671982112.538612,445227,3813,1,SA,1,100,0.000040
1671982112.938800,445618,3896,1,SA,1,100,0.000117
1671982113.940805,446597,4014,1,SA,1,100,0.000081
1671982114.139364,446791,4048,1,SA,1,100,0.000093
1671982114.475071,447119,4101,1,SA,1,100,0.000073
1671982114.804638,447441,4214,1,SA,1,100,0.000248
1671982115.801525,448415,4311,1,SA,1,100,0.000106
1671982116.333745,448935,4442,1,SA,1,100,0.000220
1671982117.136167,449719,4558,1,SA,1,100,0.000196
1671982117.731843,450301,4607,1,SA,1,100,0.000041
1671982118.065504,450627,4658,1,SA,1,100,0.000037
1671982118.265086,450822,4724,1,SA,1,100,0.000189
1671982118.930360,451472,4828,1,SA,1,100,0.000197
1671982119.664208,452189,4941,1,SA,1,100,0.000103
1671982120.064396,452580,5005,1,SA,1,100,0.000223
1671982120.598663,453102,5056,1,SA,1,100,0.000050
1671982120.797221,453296,5104,1,SA,1,100,0.000095
1671982121.533117,454015,5204,1,SA,1,100,0.000021
1671982121.733722,454211,5253,1,SA,1,100,0.000004
1671982122.130840,454599,5320,1,SA,1,100,0.000046
1671982122.396949,454859,5339,1,SA,1,100,0.000066
1671982122.596532,455054,5372,1,SA,1,100,0.000083
1671982122.795090,455248,5470,1,SA,1,100,0.000254
