LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1671983264.192365,1570440.000,49590,1,SF,1,100,1.5776
1671983264.523978,1570764.000,49636,1,SF,1,100,1.5593
1671983264.854568,1571087.000,49685,1,SF,1,100,1.5413
1671983265.257827,1571481.000,49747,1,SF,1,100,1.5235
1671983265.588417,1571804.000,49798,1,SF,1,100,1.5058
1671983265.858620,1572068.000,49845,1,SF,1,100,1.4884
1671983266.190234,1572392.000,49891,1,SF,1,100,1.4712
1671983266.591445,1572784.000,49956,1,SF,1,100,1.4542
1671983266.922035,1573107.000,49992,1,SF,1,100,1.4373
1671983267.188145,1573367.000,50039,1,SF,1,100,1.4207
1671983267.523852,1573695.000,50088,1,SF,1,100,1.4043
1671983267.853419,1574017.000,50137,1,SF,1,100,1.3880
1671983268.190150,1574346.000,50185,1,SF,1,100,1.3720
1671983268.588291,1574735.000,50249,1,SF,1,100,1.3561
1671983268.854400,1574995.000,50297,1,SF,1,100,1.3404
1671983269.184990,1575318.000,50345,1,SF,1,100,1.3249
1671983269.516604,1575642.000,50392,1,SF,1,100,1.3096
1671983269.914745,1576031.000,50457,1,SF,1,100,1.2944
1671983270.248405,1576357.000,50505,1,SF,1,100,1.2795
1671983270.514515,1576617.000,50552,1,SF,1,100,1.2647
1671983270.849199,1576944.000,50601,1,SF,1,100,1.2500
1671983271.180812,1577268.000,50648,1,SF,1,100,1.2356
1671983271.582024,1577660.000,50712,1,SF,1,100,1.2213
1671983272.045669,1578113.000,50766,1,SF,1,100,1.2072
1671983272.244227,1578307.000,50798,1,SF,1,100,1.1932
1671983272.580958,1578636.000,50844,1,SF,1,100,1.1794
1671983272.843997,1578893.000,50894,1,SF,1,100,1.1657
1671983273.180728,1579222.000,50940,1,SF,1,100,1.1523
1671983273.512342,1579546.000,50987,1,SF,1,100,1.1389
1671983273.914577,1579939.000,51051,1,SF,1,100,1.1258
1671983274.179663,1580198.000,51100,1,SF,1,100,1.1127
1671983274.511276,1580522.000,51147,1,SF,1,100,1.0999
1671983274.848007,1580851.000,51195,1,SF,1,100,1.0871
1671983275.247172,1581241.000,51259,1,SF,1,100,1.0746
1671983275.580832,1581567.000,51307,1,SF,1,100,1.0621
1671983275.850012,1581830.000,51357,1,SF,1,100,1.0498
1671983276.181626,1582154.000,51404,1,SF,1,100,1.0377
1671983276.513239,1582478.000,51451,1,SF,1,100,1.0257
1671983276.912404,1582868.000,51517,1,SF,1,100,1.0138
1671983277.241970,1583190.000,51554,1,SF,1,100,1.0021
1671983277.574607,1583515.000,51603,1,SF,1,100,0.9905
1671983277.905197,1583838.000,51652,1,SF,1,100,0.9791
1671983278.240905,1584166.000,51699,1,SF,1,100,0.9677
1671983278.505991,1584425.000,51748,1,SF,1,100,0.9565
1671983278.839651,1584751.000,51796,1,SF,1,100,0.9455
1671983279.171265,1585075.000,51844,1,SF,1,100,0.9345
1671983279.568382,1585463.000,51910,1,SF,1,100,0.9237
1671983279.837562,1585726.000,51956,1,SF,1,100,0.9130
1671983280.167129,1586048.000,52004,1,SF,1,100,0.9025
1671983280.503860,1586377.000,52050,1,SF,1,100,0.8920
1671983280.903024,1586767.000,52116,1,SF,1,100,0.8817
1671983281.234637,1587091.000,52163,1,SF,1,100,0.8715
1671983281.499724,1587350.000,52210,1,SF,1,100,0.8614
1671983281.830314,1587673.000,52261,1,SF,1,100,0.8515
1671983282.167045,1588002.000,52307,1,SF,1,100,0.8416
1671983282.499682,1588327.000,52345,1,SF,1,100,0.8319
1671983282.833342,1588653.000,52395,1,SF,1,100,0.8223
1671983283.231483,1589042.000,52457,1,SF,1,100,0.8127
1671983283.496569,1589301.000,52507,1,SF,1,100,0.8033
1671983283.828183,1589625.000,52555,1,SF,1,100,0.7940
1671983284.226323,1590014.000,52603,1,SF,1,100,0.7849
1671983284.492433,1590274.000,52651,1,SF,1,100,0.7758
1671983284.827117,1590601.000,52701,1,SF,1,100,0.7668
1671983285.158731,1590925.000,52749,1,SF,1,100,0.7579
1671983285.560966,1591318.000,52813,1,SF,1,100,0.7492
1671983285.893602,1591643.000,52860,1,SF,1,100,0.7405
1671983286.157665,1591901.000,52907,1,SF,1,100,0.7319
1671983286.492349,1592228.000,52956,1,SF,1,100,0.7235
1671983286.822939,1592551.000,53004,1,SF,1,100,0.7151
1671983287.225174,1592944.000,53068,1,SF,1,100,0.7068
1671983287.558834,1593270.000,53118,1,SF,1,100,0.6987
1671983287.824944,1593530.000,53155,1,SF,1,100,0.6906
1671983288.156558,1593854.000,53202,1,SF,1,100,0.6826
1671983288.557769,1594246.000,53268,1,SF,1,100,0.6747
1671983288.825926,1594508.000,53315,1,SF,1,100,0.6669
1671983289.158562,1594833.000,53362,1,SF,1,100,0.6592
1671983289.492223,1595159.000,53408,1,SF,1,100,0.6515
1671983289.892411,1595550.000,53475,1,SF,1,100,0.6440
1671983290.225048,1595875.000,53522,1,SF,1,100,0.6366
1671983290.489110,1596133.000,53570,1,SF,1,100,0.6292
1671983290.821748,1596458.000,53620,1,SF,1,100,0.6219
1671983291.151314,1596780.000,53666,1,SF,1,100,0.6147
1671983291.554572,1597174.000,53732,1,SF,1,100,0.6076
1671983291.888233,1597500.000,53779,1,SF,1,100,0.6006
1671983292.156389,1597762.000,53826,1,SF,1,100,0.5936
1671983292.488003,1598086.000,53875,1,SF,1,100,0.5868
1671983292.955742,1598543.000,53946,1,SF,1,100,0.5800
1671983293.220828,1598802.000,53979,1,SF,1,100,0.5733
1671983293.485914,1599061.000,54026,1,SF,1,100,0.5666
1671983293.822645,1599390.000,54075,1,SF,1,100,0.5601
1671983294.221809,1599780.000,54139,1,SF,1,100,0.5536
1671983294.555470,1600106.000,54187,1,SF,1,100,0.5472
1671983294.820556,1600365.000,54235,1,SF,1,100,0.5409
1671983295.155240,1600692.000,54283,1,SF,1,100,0.5346
1671983295.485830,1601015.000,54330,1,SF,1,100,0.5284
1671983295.886018,1601406.000,54394,1,SF,1,100,0.5223
1671983296.217631,1601730.000,54443,1,SF,1,100,0.5163
1671983296.484764,1601991.000,54490,1,SF,1,100,0.5103
1671983296.818425,1602317.000,54538,1,SF,1,100,0.5044
1671983297.149015,1602640.000,54588,1,SF,1,100,0.4986
1671983297.547156,1603029.000,54652,1,SF,1,100,0.4928
1671983297.811218,1603287.000,54700,1,SF,1,100,0.4871
1671983298.210383,1603677.000,54751,1,SF,1,100,0.4815
1671983298.474445,1603935.000,54783,1,SF,1,100,0.4759
1671983298.874633,1604326.000,54849,1,SF,1,100,0.4704
1671983299.140743,1604586.000,54895,1,SF,1,100,0.4649
1671983299.474403,1604912.000,54945,1,SF,1,100,0.4596
1671983299.806017,1605236.000,54993,1,SF,1,100,0.4542
1671983300.204158,1605625.000,55057,1,SF,1,100,0.4490
1671983300.535771,1605949.000,55106,1,SF,1,100,0.4438
1671983300.801881,1606209.000,55153,1,SF,1,100,0.4387
1671983301.135541,1606535.000,55202,1,SF,1,100,0.4336
1671983301.468178,1606860.000,55248,1,SF,1,100,0.4286
1671983301.869390,1607252.000,55314,1,SF,1,100,0.4236
1671983302.204074,1607579.000,55362,1,SF,1,100,0.4187
1671983302.470183,1607839.000,55408,1,SF,1,100,0.4139
1671983302.801797,1608163.000,55459,1,SF,1,100,0.4091
1671983303.134434,1608488.000,55506,1,SF,1,100,0.4044
1671983303.534621,1608879.000,55560,1,SF,1,100,0.3997
1671983303.802778,1609141.000,55610,1,SF,1,100,0.3951
1671983304.136439,1609467.000,55658,1,SF,1,100,0.3905
1671983304.466005,1609789.000,55704,1,SF,1,100,0.3860
1671983304.865170,1610179.000,55770,1,SF,1,100,0.3815
1671983305.196783,1610503.000,55817,1,SF,1,100,0.3771
1671983305.464940,1610765.000,55864,1,SF,1,100,0.3727
1671983305.796553,1611089.000,55915,1,SF,1,100,0.3684
1671983306.128167,1611413.000,55961,1,SF,1,100,0.3642
1671983306.529378,1611805.000,56025,1,SF,1,100,0.3599
1671983306.862015,1612130.000,56073,1,SF,1,100,0.3558
1671983307.127101,1612389.000,56119,1,SF,1,100,0.3517
1671983307.458715,1612713.000,56166,1,SF,1,100,0.3476
1671983307.789304,1613036.000,56215,1,SF,1,100,0.3436
1671983308.190516,1613428.000,56277,1,SF,1,100,0.3396
1671983308.456626,1613688.000,56326,1,SF,1,100,0.3357
1671983308.790286,1614014.000,56363,1,SF,1,100,0.3318
1671983309.189451,1614404.000,56425,1,SF,1,100,0.3279
1671983309.457607,1614666.000,56472,1,SF,1,100,0.3242
1671983309.791268,1614992.000,56521,1,SF,1,100,0.3204
1671983310.124928,1615318.000,56569,1,SF,1,100,0.3167
1671983310.527163,1615711.000,56634,1,SF,1,100,0.3130
1671983310.856730,1616033.000,56681,1,SF,1,100,0.3094
1671983311.126933,1616297.000,56727,1,SF,1,100,0.3058
1671983311.458547,1616621.000,56775,1,SF,1,100,0.3023
1671983311.790160,1616945.000,56825,1,SF,1,100,0.2988
1671983312.188301,1617334.000,56887,1,SF,1,100,0.2953
1671983312.518891,1617657.000,56936,1,SF,1,100,0.2919
1671983312.789094,1617921.000,56983,1,SF,1,100,0.2885
1671983313.118661,1618243.000,57032,1,SF,1,100,0.2852
1671983313.453345,1618570.000,57078,1,SF,1,100,0.2819
1671983313.854556,1618962.000,57142,1,SF,1,100,0.2786
1671983314.119642,1619221.000,57179,1,SF,1,100,0.2754
1671983314.451256,1619545.000,57226,1,SF,1,100,0.2722
1671983314.781846,1619868.000,57274,1,SF,1,100,0.2691
1671983315.179987,1620257.000,57338,1,SF,1,100,0.2660
1671983315.514671,1620584.000,57388,1,SF,1,100,0.2629
1671983315.780781,1620844.000,57434,1,SF,1,100,0.2599
1671983316.114441,1621170.000,57481,1,SF,1,100,0.2569
1671983316.446054,1621494.000,57530,1,SF,1,100,0.2539
1671983316.844195,1621883.000,57594,1,SF,1,100,0.2509
1671983317.112352,1622145.000,57643,1,SF,1,100,0.2480
1671983317.443965,1622469.000,57690,1,SF,1,100,0.2452
1671983317.779673,1622797.000,57739,1,SF,1,100,0.2423
1671983318.176790,1623185.000,57801,1,SF,1,100,0.2395
1671983318.510451,1623511.000,57849,1,SF,1,100,0.2368
1671983318.775537,1623770.000,57899,1,SF,1,100,0.2340
1671983319.107150,1624094.000,57945,1,SF,1,100,0.2313
1671983319.570795,1624547.000,57985,1,SF,1,100,0.2286
1671983319.767307,1624739.000,58021,1,SF,1,100,0.2260
1671983320.104038,1625068.000,58067,1,SF,1,100,0.2234
1671983320.505249,1625460.000,58131,1,SF,1,100,0.2208
1671983320.771359,1625720.000,58179,1,SF,1,100,0.2182
1671983321.102972,1626044.000,58227,1,SF,1,100,0.2157
1671983321.433562,1626367.000,58274,1,SF,1,100,0.2132
1671983321.765176,1626691.000,58323,1,SF,1,100,0.2108
1671983322.097813,1627016.000,58372,1,SF,1,100,0.2083
1671983322.431473,1627342.000,58419,1,SF,1,100,0.2059
1671983322.831661,1627733.000,58483,1,SF,1,100,0.2035
1671983323.096747,1627992.000,58532,1,SF,1,100,0.2012
1671983323.431431,1628319.000,58579,1,SF,1,100,0.1988
1671983323.764068,1628644.000,58628,1,SF,1,100,0.1965
1671983324.093635,1628966.000,58675,1,SF,1,100,0.1943
1671983324.495870,1629359.000,58725,1,SF,1,100,0.1920
1671983324.826460,1629682.000,58774,1,SF,1,100,0.1898
1671983325.162167,1630010.000,58823,1,SF,1,100,0.1876
1671983325.428277,1630270.000,58870,1,SF,1,100,0.1854
1671983325.761937,1630596.000,58921,1,SF,1,100,0.1833
1671983326.093551,1630920.000,58967,1,SF,1,100,0.1812
1671983326.491692,1631309.000,59031,1,SF,1,100,0.1791
1671983326.760872,1631572.000,59081,1,SF,1,100,0.1770
