LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1673995953.110598,1238282.000,62047,2,PR,1,100,144098
1673995953.150521,1238321.000,62047,2,PR,1,100,144080
1673995953.197099,1238366.500,62064,2,PR,1,100,144081
1673995953.243676,1238412.000,62064,2,PR,1,100,144091
1673995953.283600,1238451.000,62079,3,PR,1,100,144105
1673995953.323523,1238490.000,62079,3,PR,1,100,144100
1673995953.363447,1238529.000,62079,3,PR,1,100,144089
1673995953.402688,1238567.333,62094,3,PR,1,100,144091
1673995953.441929,1238605.667,62094,3,PR,1,100,144082
1673995953.481170,1238644.000,62094,3,PR,1,100,144098
1673995953.521093,1238683.000,62109,2,PR,1,100,144106
1673995953.561017,1238722.000,62109,2,PR,1,100,144125
1673995953.600940,1238761.000,62128,3,PR,1,100,144124
1673995953.640864,1238800.000,62128,3,PR,1,100,144132
1673995953.680788,1238839.000,62128,3,PR,1,100,144148
1673995953.720711,1238878.000,62145,4,PR,1,100,144154
1673995953.760634,1238917.000,62145,4,PR,1,100,144153
1673995953.800558,1238956.000,62145,4,PR,1,100,144170
1673995953.840482,1238995.000,62145,4,PR,1,100,144168
1673995953.880405,1239034.000,62162,2,PR,1,100,144154
1673995953.920329,1239073.000,62162,2,PR,1,100,144105
1673995953.959843,1239111.600,62183,5,PR,1,100,144069
1673995953.999357,1239150.200,62183,5,PR,1,100,144047
1673995954.038871,1239188.800,62183,5,PR,1,100,144055
1673995954.078385,1239227.400,62183,5,PR,1,100,144076
1673995954.117899,1239266.000,62183,5,PR,1,100,144067
1673995954.157822,1239305.000,62198,2,PR,1,100,144066
1673995954.197746,1239344.000,62198,2,PR,1,100,144071
1673995954.237669,1239383.000,62215,3,PR,1,100,144059
1673995954.277593,1239422.000,62215,3,PR,1,100,144058
1673995954.317516,1239461.000,62215,3,PR,1,100,144067
1673995954.357781,1239500.333,62230,3,PR,1,100,144075
1673995954.398046,1239539.667,62230,3,PR,1,100,144078
1673995954.438311,1239579.000,62230,3,PR,1,100,144099
1673995954.478234,1239618.000,62245,2,PR,1,100,144106
1673995954.518157,1239657.000,62245,2,PR,1,100,144119
1673995954.562517,1239700.333,62261,3,PR,1,100,144121
1673995954.606877,1239743.667,62261,3,PR,1,100,144135
1673995954.651236,1239787.000,62261,3,PR,1,100,144142
1673995954.691159,1239826.000,62281,2,PR,1,100,144149
1673995954.731083,1239865.000,62281,2,PR,1,100,144160
1673995954.770665,1239903.667,62296,3,PR,1,100,144159
1673995954.810248,1239942.333,62296,3,PR,1,100,144175
1673995954.849830,1239981.000,62296,3,PR,1,100,144197
1673995954.889753,1240020.000,62313,3,PR,1,100,144205
1673995954.929677,1240059.000,62313,3,PR,1,100,144223
1673995954.969600,1240098.000,62313,3,PR,1,100,144223
1673995955.010548,1240138.000,62327,2,PR,1,100,144234
1673995955.051495,1240178.000,62327,2,PR,1,100,144237
1673995955.091418,1240217.000,62343,3,PR,1,100,144199
1673995955.131342,1240256.000,62343,3,PR,1,100,144141
1673995955.171265,1240295.000,62343,3,PR,1,100,144107
1673995955.211189,1240334.000,62359,2,PR,1,100,144099
1673995955.251112,1240373.000,62359,2,PR,1,100,144122
1673995955.291036,1240412.000,62375,3,PR,1,100,144118
1673995955.330959,1240451.000,62375,3,PR,1,100,144124
1673995955.370883,1240490.000,62375,3,PR,1,100,144121
1673995955.410806,1240529.000,62389,2,PR,1,100,144123
1673995955.450730,1240568.000,62389,2,PR,1,100,144105
1673995955.490312,1240606.667,62405,3,PR,1,100,144120
1673995955.529895,1240645.333,62405,3,PR,1,100,144129
1673995955.569477,1240684.000,62405,3,PR,1,100,144149
1673995955.610083,1240723.667,62423,3,PR,1,100,144156
1673995955.650689,1240763.333,62423,3,PR,1,100,144165
1673995955.691295,1240803.000,62423,3,PR,1,100,144174
1673995955.731218,1240842.000,62439,2,PR,1,100,144189
1673995955.771142,1240881.000,62439,2,PR,1,100,144198
1673995955.811065,1240920.000,62454,3,PR,1,100,144194
1673995955.850989,1240959.000,62454,3,PR,1,100,144205
1673995955.890912,1240998.000,62454,3,PR,1,100,144209
1673995955.937490,1241043.500,62472,2,PR,1,100,144217
1673995955.984067,1241089.000,62472,2,PR,1,100,144229
1673995956.023991,1241128.000,62487,3,PR,1,100,144245
1673995956.063914,1241167.000,62487,3,PR,1,100,144270
1673995956.103838,1241206.000,62487,3,PR,1,100,144269
1673995956.143505,1241244.750,62504,4,PR,1,100,144280
1673995956.183173,1241283.500,62504,4,PR,1,100,144293
1673995956.222841,1241322.250,62504,4,PR,1,100,144305
1673995956.262508,1241361.000,62504,4,PR,1,100,144307
1673995956.301408,1241399.000,62519,2,PR,1,100,144290
1673995956.340308,1241437.000,62519,2,PR,1,100,144236
1673995956.379890,1241475.667,62535,3,PR,1,100,144186
1673995956.419472,1241514.333,62535,3,PR,1,100,144172
1673995956.459055,1241553.000,62535,3,PR,1,100,144190
1673995956.499319,1241592.333,62550,3,PR,1,100,144201
1673995956.539584,1241631.667,62550,3,PR,1,100,144194
1673995956.579849,1241671.000,62550,3,PR,1,100,144197
1673995956.620796,1241711.000,62569,2,PR,1,100,144203
1673995956.661743,1241751.000,62569,2,PR,1,100,144197
1673995956.702008,1241790.333,62583,3,PR,1,100,144200
1673995956.742273,1241829.667,62583,3,PR,1,100,144203
1673995956.782537,1241869.000,62583,3,PR,1,100,144221
1673995956.822461,1241908.000,62599,2,PR,1,100,144232
1673995956.862385,1241947.000,62599,2,PR,1,100,144250
1673995956.901626,1241985.333,62615,3,PR,1,100,144261
1673995956.940867,1242023.667,62615,3,PR,1,100,144258
1673995956.980108,1242062.000,62615,3,PR,1,100,144274
