LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1669792362.768967,539087.000,17005,2,AK,1,100,RD
1669792365.352152,541610.500,17807,2,AK,1,100,17003
1669792367.935337,544134.000,17807,2,AK,1,100,RD
1669792367.973212,544171.000,17810,2,AK,1,100,17808
1669792368.011087,544208.000,17810,2,AK,1,100,RD
1669792370.587619,546725.000,18614,2,AK,1,100,17808
1669792373.164150,549242.000,18614,2,AK,1,100,RD
1669792373.186159,549263.500,18617,2,AK,1,100,18615
1669792373.208167,549285.000,18617,2,AK,1,100,RD
1669792375.810802,551827.500,19419,2,AK,1,100,18615
1669792378.413436,554370.000,19419,2,AK,1,100,RD
1669792378.430326,554386.500,19422,2,AK,1,100,19420
1669792378.447217,554403.000,19422,2,AK,1,100,RD
1669792381.044221,556940.000,20225,2,AK,1,100,19420
1669792383.641225,559477.000,20225,2,AK,1,100,RD
1669792383.676541,559511.500,20228,2,AK,1,100,20226
1669792383.711857,559546.000,20228,2,AK,1,100,RD
1669792386.288901,562063.500,21032,2,AK,1,100,20226
1669792388.865944,564581.000,21032,2,AK,1,100,RD
1669792388.884369,564599.000,21035,2,AK,1,100,21033
1669792388.902795,564617.000,21035,2,AK,1,100,RD
1669792391.498264,567152.500,21836,2,AK,1,100,21033
1669792394.093733,569688.000,21836,2,AK,1,100,RD
1669792394.107040,569701.000,21839,2,AK,1,100,21837
1669792394.120348,569714.000,21839,2,AK,1,100,RD
1669792396.746526,572279.500,22652,2,AK,1,100,21837
1669792399.372705,574845.000,22652,2,AK,1,100,RD
1669792399.404950,574876.500,22655,2,AK,1,100,22653
1669792399.437195,574908.000,22655,2,AK,1,100,RD
1669792402.019356,577430.500,23452,2,AK,1,100,22653
1669792404.601518,579953.000,23452,2,AK,1,100,RD
1669792404.627621,579978.500,23455,2,AK,1,100,23453
1669792404.653724,580004.000,23455,2,AK,1,100,RD
1669792407.242027,582532.500,24257,2,AK,1,100,23453
1669792409.830331,585061.000,24257,2,AK,1,100,RD
1669792412.441154,587611.500,25047,2,AK,1,100,24258
1669792415.051978,590162.000,25047,2,AK,1,100,RD
1669792415.064262,590174.000,25050,2,AK,1,100,25048
1669792415.076546,590186.000,25050,2,AK,1,100,RD
1669792417.704260,592753.000,25875,2,AK,1,100,25873
1669792420.331974,595320.000,25875,2,AK,1,100,RD
1669792422.962246,597889.500,26694,2,AK,1,100,25873
1669792425.592520,600459.000,26694,2,AK,1,100,RD
1669792425.619646,600485.500,26697,2,AK,1,100,26695
