LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1689086680.956474,221461.333,33107,3,GY,1,100,2.594
1689086680.995702,221499.667,33107,3,GY,1,100,-4.120
1689086681.034930,221538.000,33107,3,GY,1,100,-10.864
1689086681.074840,221577.000,33123,2,GY,1,100,-7.446
1689086681.114751,221616.000,33123,2,GY,1,100,-5.920
1689086681.154661,221655.000,33138,3,GY,1,100,-16.022
1689086681.194571,221694.000,33138,3,GY,1,100,-17.426
1689086681.234482,221733.000,33138,3,GY,1,100,-9.277
1689086681.275415,221773.000,33154,2,GY,1,100,-5.035
1689086681.316349,221813.000,33154,2,GY,1,100,-2.045
1689086681.356600,221852.333,33169,3,GY,1,100,-0.458
1689086681.396852,221891.667,33169,3,GY,1,100,5.890
1689086681.437103,221931.000,33169,3,GY,1,100,6.622
1689086681.472579,221965.667,33186,3,GY,1,100,2.502
1689086681.508055,222000.333,33186,3,GY,1,100,3.540
1689086681.543530,222035.000,33186,3,GY,1,100,8.209
1689086681.583441,222074.000,33202,2,GY,1,100,8.636
1689086681.623351,222113.000,33202,2,GY,1,100,6.897
1689086681.663261,222152.000,33218,3,GY,1,100,4.303
1689086681.703172,222191.000,33218,3,GY,1,100,1.984
1689086681.743082,222230.000,33218,3,GY,1,100,3.815
1689086681.782651,222268.667,33233,3,GY,1,100,8.606
1689086681.822220,222307.333,33233,3,GY,1,100,13.092
1689086681.861789,222346.000,33233,3,GY,1,100,7.690
1689086681.901700,222385.000,33252,2,GY,1,100,6.287
1689086681.941610,222424.000,33252,2,GY,1,100,-3.326
1689086681.981520,222463.000,33267,3,GY,1,100,-3.052
1689086682.021431,222502.000,33267,3,GY,1,100,0.702
1689086682.061341,222541.000,33267,3,GY,1,100,-1.709
1689086682.101251,222580.000,33282,2,GY,1,100,-3.326
1689086682.141161,222619.000,33282,2,GY,1,100,-2.197
1689086682.181072,222658.000,33298,3,GY,1,100,-0.854
1689086682.220982,222697.000,33298,3,GY,1,100,-2.014
1689086682.260892,222736.000,33298,3,GY,1,100,-2.411
1689086682.300803,222775.000,33314,3,GY,1,100,1.770
1689086682.340713,222814.000,33314,3,GY,1,100,1.251
1689086682.380623,222853.000,33314,3,GY,1,100,3.510
1689086682.419510,222891.000,33329,2,GY,1,100,2.563
1689086682.458397,222929.000,33329,2,GY,1,100,-0.214
1689086682.498307,222968.000,33345,3,GY,1,100,-14.465
1689086682.538218,223007.000,33345,3,GY,1,100,-10.040
1689086682.578128,223046.000,33345,3,GY,1,100,7.721
1689086682.618038,223085.000,33362,2,GY,1,100,8.270
1689086682.657949,223124.000,33362,2,GY,1,100,1.343
1689086682.697859,223163.000,33378,3,GY,1,100,2.655
1689086682.737769,223202.000,33378,3,GY,1,100,2.716
1689086682.777679,223241.000,33378,3,GY,1,100,0.305
1689086682.817931,223280.333,33394,3,GY,1,100,3.174
1689086682.858182,223319.667,33394,3,GY,1,100,6.958
1689086682.898434,223359.000,33394,3,GY,1,100,6.561
1689086682.939367,223399.000,33412,3,GY,1,100,-1.678
1689086682.980301,223439.000,33412,3,GY,1,100,-8.148
1689086683.021235,223479.000,33412,3,GY,1,100,-10.132
1689086683.061145,223518.000,33427,3,GY,1,100,-8.545
1689086683.101055,223557.000,33427,3,GY,1,100,-11.200
1689086683.140965,223596.000,33427,3,GY,1,100,1.770
1689086683.180876,223635.000,33443,2,GY,1,100,23.895
1689086683.220786,223674.000,33443,2,GY,1,100,28.137
1689086683.260355,223712.667,33458,3,GY,1,100,6.256
1689086683.299924,223751.333,33458,3,GY,1,100,-2.197
1689086683.339494,223790.000,33458,3,GY,1,100,-5.371
1689086683.375311,223825.000,33474,3,GY,1,100,-14.008
1689086683.411128,223860.000,33474,3,GY,1,100,-28.625
1689086683.446944,223895.000,33474,3,GY,1,100,-27.496
1689086683.487059,223934.200,33493,5,GY,1,100,10.040
1689086683.527174,223973.400,33493,5,GY,1,100,43.884
1689086683.567289,224012.600,33493,5,GY,1,100,32.806
1689086683.607404,224051.800,33493,5,GY,1,100,14.832
1689086683.647519,224091.000,33493,5,GY,1,100,-0.183
1689086683.687429,224130.000,33511,2,GY,1,100,3.723
1689086683.727340,224169.000,33511,2,GY,1,100,-2.045
1689086683.767250,224208.000,33526,3,GY,1,100,-10.834
1689086683.807160,224247.000,33526,3,GY,1,100,5.859
1689086683.847071,224286.000,33526,3,GY,1,100,0.031
1689086683.885958,224324.000,33545,2,GY,1,100,-23.193
1689086683.924845,224362.000,33545,2,GY,1,100,-39.551
1689086683.965778,224402.000,33559,3,GY,1,100,-20.782
1689086684.006712,224442.000,33559,3,GY,1,100,35.278
1689086684.047646,224482.000,33559,3,GY,1,100,60.089
1689086684.087556,224521.000,33575,3,GY,1,100,17.120
1689086684.127466,224560.000,33575,3,GY,1,100,-18.738
1689086684.167376,224599.000,33575,3,GY,1,100,-10.925
1689086684.207287,224638.000,33591,2,GY,1,100,34.668
1689086684.247197,224677.000,33591,2,GY,1,100,64.148
1689086684.287107,224716.000,33607,3,GY,1,100,41.290
1689086684.327018,224755.000,33607,3,GY,1,100,-4.456
1689086684.366928,224794.000,33607,3,GY,1,100,-24.078
1689086684.406838,224833.000,33622,2,GY,1,100,-11.078
1689086684.446748,224872.000,33622,2,GY,1,100,17.944
1689086684.486659,224911.000,33640,3,GY,1,100,8.331
1689086684.526569,224950.000,33640,3,GY,1,100,-30.426
1689086684.566479,224989.000,33640,3,GY,1,100,-41.473
1689086684.606390,225028.000,33659,2,GY,1,100,-9.796
1689086684.646300,225067.000,33659,2,GY,1,100,35.095
1689086684.685528,225105.333,33675,3,GY,1,100,10.284
1689086684.724756,225143.667,33675,3,GY,1,100,-12.360
1689086684.763984,225182.000,33675,3,GY,1,100,-15.991
1689086684.803894,225221.000,33691,3,GY,1,100,-8.850
1689086684.843805,225260.000,33691,3,GY,1,100,3.601
1689086684.883715,225299.000,33691,3,GY,1,100,2.655
1689086684.923625,225338.000,33706,2,GY,1,100,-6.073
1689086684.963536,225377.000,33706,2,GY,1,100,-8.911
1689086685.003446,225416.000,33721,3,GY,1,100,-10.010
1689086685.043356,225455.000,33721,3,GY,1,100,-1.831
1689086685.083266,225494.000,33721,3,GY,1,100,10.437
1689086685.118401,225528.333,33737,3,GY,1,100,9.125
1689086685.153536,225562.667,33737,3,GY,1,100,-5.035
1689086685.188670,225597.000,33737,3,GY,1,100,1.251
1689086685.228581,225636.000,33755,2,GY,1,100,8.209
1689086685.268491,225675.000,33755,2,GY,1,100,-0.305
1689086685.307719,225713.333,33771,3,GY,1,100,-5.524
1689086685.346947,225751.667,33771,3,GY,1,100,-3.845
1689086685.386175,225790.000,33771,3,GY,1,100,-0.732
1689086685.426085,225829.000,33785,3,GY,1,100,0.732
1689086685.465996,225868.000,33785,3,GY,1,100,-4.089
1689086685.505906,225907.000,33785,3,GY,1,100,-8.698
1689086685.545305,225945.500,33804,2,GY,1,100,-5.096
1689086685.584703,225984.000,33804,2,GY,1,100,3.326
1689086685.625637,226024.000,33819,3,GY,1,100,6.195
1689086685.666571,226064.000,33819,3,GY,1,100,1.617
1689086685.707504,226104.000,33819,3,GY,1,100,-3.296
1689086685.747415,226143.000,33835,2,GY,1,100,-1.801
1689086685.787325,226182.000,33835,2,GY,1,100,-1.953
1689086685.827235,226221.000,33850,3,GY,1,100,-3.967
1689086685.867145,226260.000,33850,3,GY,1,100,-5.524
1689086685.907056,226299.000,33850,3,GY,1,100,-4.608
1689086685.946966,226338.000,33866,3,GY,1,100,-1.770
