LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1700428359.790753,45151.000,3464,3,PR,1,100,131834
1700428359.830645,45190.000,3464,3,PR,1,100,131825
1700428359.869513,45228.000,3479,2,PR,1,100,131829
1700428359.908382,45266.000,3479,2,PR,1,100,131839
1700428359.948955,45305.667,3495,3,PR,1,100,131829
1700428359.989528,45345.333,3495,3,PR,1,100,131834
1700428360.030102,45385.000,3495,3,PR,1,100,131804
1700428360.070504,45424.500,3513,2,PR,1,100,131793
1700428360.110907,45464.000,3513,2,PR,1,100,131812
1700428360.150799,45503.000,3528,3,PR,1,100,131820
1700428360.190690,45542.000,3528,3,PR,1,100,131812
1700428360.230581,45581.000,3528,3,PR,1,100,131800
1700428360.270473,45620.000,3545,3,PR,1,100,131818
1700428360.310364,45659.000,3545,3,PR,1,100,131837
1700428360.350255,45698.000,3545,3,PR,1,100,131855
1700428360.390147,45737.000,3559,2,PR,1,100,131869
1700428360.430038,45776.000,3559,2,PR,1,100,131862
1700428360.469589,45814.667,3575,3,PR,1,100,131858
1700428360.509139,45853.333,3575,3,PR,1,100,131873
1700428360.548689,45892.000,3575,3,PR,1,100,131870
1700428360.589092,45931.500,3591,2,PR,1,100,131855
1700428360.629495,45971.000,3591,2,PR,1,100,131836
1700428360.673819,46014.333,3609,3,PR,1,100,131829
1700428360.718142,46057.667,3609,3,PR,1,100,131804
1700428360.762466,46101.000,3609,3,PR,1,100,131820
1700428360.802357,46140.000,3623,2,PR,1,100,131809
1700428360.842249,46179.000,3623,2,PR,1,100,131802
1700428360.882140,46218.000,3640,3,PR,1,100,131819
1700428360.922032,46257.000,3640,3,PR,1,100,131811
1700428360.961923,46296.000,3640,3,PR,1,100,131818
1700428361.002837,46336.000,3655,3,PR,1,100,131807
1700428361.043751,46376.000,3655,3,PR,1,100,131857
1700428361.084666,46416.000,3655,3,PR,1,100,131879
1700428361.124557,46455.000,3673,3,PR,1,100,131879
