LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1700520744.558789,76037.000,7279,1,SF,1,100,71.2292
1700520744.892157,76363.000,7327,1,SF,1,100,72.4875
1700520745.155989,76621.000,7379,1,SF,1,100,73.7312
1700520745.485267,76943.000,7427,1,SF,1,100,74.9605
1700520745.820681,77271.000,7476,1,SF,1,100,74.0934
1700520746.219496,77661.000,7538,1,SF,1,100,73.2362
1700520746.551842,77986.000,7587,1,SF,1,100,74.4713
1700520746.817719,78246.000,7638,1,SF,1,100,75.6921
1700520747.149042,78570.000,7684,1,SF,1,100,74.8164
1700520747.480365,78894.000,7737,1,SF,1,100,76.0332
1700520747.812711,79219.000,7785,1,SF,1,100,75.1537
1700520748.141989,79541.000,7835,1,SF,1,100,74.2843
1700520748.543872,79934.000,7901,1,SF,1,100,75.5072
1700520748.807704,80192.000,7947,1,SF,1,100,74.6337
1700520749.143118,80520.000,7997,1,SF,1,100,73.7704
1700520749.474441,80844.000,8045,1,SF,1,100,74.9992
1700520749.871211,81232.000,8109,1,SF,1,100,74.1316
1700520750.201512,81555.000,8156,1,SF,1,100,73.2741
1700520750.467388,81815.000,8207,1,SF,1,100,74.5087
1700520750.802802,82143.000,8256,1,SF,1,100,73.6468
1700520751.132080,82465.000,8304,1,SF,1,100,74.8771
1700520751.532941,82857.000,8370,1,SF,1,100,74.0109
1700520751.867332,83184.000,8418,1,SF,1,100,73.1547
1700520752.132186,83443.000,8466,1,SF,1,100,74.3907
1700520752.527933,83830.000,8516,1,SF,1,100,75.6124
1700520752.794833,84091.000,8564,1,SF,1,100,74.7377
1700520753.128201,84417.000,8616,1,SF,1,100,75.9554
1700520753.462592,84744.000,8662,1,SF,1,100,75.0768
1700520753.861408,85134.000,8728,1,SF,1,100,76.2905
1700520754.190686,85456.000,8779,1,SF,1,100,77.4902
1700520754.457585,85717.000,8826,1,SF,1,100,76.5938
1700520754.786863,86039.000,8879,1,SF,1,100,77.7900
1700520755.119209,86364.000,8927,1,SF,1,100,78.9724
1700520755.515979,86752.000,8991,1,SF,1,100,78.0588
1700520755.847302,87076.000,9043,1,SF,1,100,79.2381
1700520756.113179,87336.000,9091,1,SF,1,100,80.4037
1700520756.446548,87662.000,9141,1,SF,1,100,81.5559
1700520756.778894,87987.000,9189,1,SF,1,100,80.6124
1700520757.176686,88376.000,9253,1,SF,1,100,81.7621
1700520757.505964,88698.000,9304,1,SF,1,100,82.8986
1700520757.773886,88960.000,9340,1,SF,1,100,81.9396
1700520758.174747,89352.000,9404,1,SF,1,100,83.0740
1700520758.441646,89613.000,9451,1,SF,1,100,82.1129
1700520758.775014,89939.000,9500,1,SF,1,100,81.1631
1700520759.108383,90265.000,9550,1,SF,1,100,82.3064
1700520759.507198,90655.000,9616,1,SF,1,100,83.4365
1700520759.839544,90980.000,9664,1,SF,1,100,82.4713
1700520760.107466,91242.000,9698,1,SF,1,100,83.5996
1700520760.438789,91566.000,9747,1,SF,1,100,84.7147
1700520760.774203,91894.000,9798,1,SF,1,100,83.7347
1700520761.171996,92283.000,9860,1,SF,1,100,82.7661
1700520761.503319,92607.000,9909,1,SF,1,100,83.8909
1700520761.768173,92866.000,9960,1,SF,1,100,85.0027
1700520762.099497,93190.000,10007,1,SF,1,100,84.0194
1700520762.432865,93516.000,10057,1,SF,1,100,85.1297
1700520762.763166,93839.000,10109,1,SF,1,100,86.2271
1700520763.096534,94165.000,10146,1,SF,1,100,87.3119
1700520763.498417,94558.000,10210,1,SF,1,100,86.3019
1700520763.830763,94883.000,10260,1,SF,1,100,87.3858
1700520764.095618,95142.000,10308,1,SF,1,100,88.4572
1700520764.426941,95466.000,10357,1,SF,1,100,87.4339
1700520764.757241,95789.000,10408,1,SF,1,100,88.5047
1700520765.159124,96182.000,10474,1,SF,1,100,89.5631
1700520765.425001,96442.000,10521,1,SF,1,100,88.5270
1700520765.758370,96768.000,10570,1,SF,1,100,87.5030
1700520766.090716,97093.000,10617,1,SF,1,100,86.4907
1700520766.488508,97482.000,10683,1,SF,1,100,85.4902
1700520766.823922,97810.000,10731,1,SF,1,100,86.5835
1700520767.154223,98133.000,10781,1,SF,1,100,87.6641
1700520767.423167,98396.000,10829,1,SF,1,100,86.6500
1700520767.753468,98719.000,10881,1,SF,1,100,87.7299
1700520768.088882,99047.000,10931,1,SF,1,100,88.7973
1700520768.420205,99371.000,10980,1,SF,1,100,87.7701
1700520768.751529,99695.000,11030,1,SF,1,100,88.8370
1700520769.148299,100083.000,11096,1,SF,1,100,89.8916
1700520769.414175,100343.000,11130,1,SF,1,100,90.9340
1700520769.816058,100736.000,11194,1,SF,1,100,89.8820
1700520770.082958,100997.000,11241,1,SF,1,100,88.8423
1700520770.416326,101323.000,11290,1,SF,1,100,87.8145
1700520770.749695,101649.000,11341,1,SF,1,100,88.8810
1700520771.147487,102038.000,11403,1,SF,1,100,87.8528
1700520771.478811,102362.000,11451,1,SF,1,100,86.8365
1700520771.814224,102690.000,11499,1,SF,1,100,85.8319
1700520772.144525,103013.000,11549,1,SF,1,100,86.9213
1700520772.413470,103276.000,11597,1,SF,1,100,85.9158
1700520772.745816,103601.000,11647,1,SF,1,100,87.0042
1700520773.146676,103993.000,11711,1,SF,1,100,85.9977
1700520773.476977,104316.000,11747,1,SF,1,100,85.0029
1700520773.742853,104576.000,11798,1,SF,1,100,86.1018
1700520774.078267,104904.000,11845,1,SF,1,100,85.1058
1700520774.408568,105227.000,11892,1,SF,1,100,84.1212
1700520774.743982,105555.000,11941,1,SF,1,100,83.1481
1700520775.074282,105878.000,11989,1,SF,1,100,82.1863
1700520775.474120,106269.000,12055,1,SF,1,100,83.3178
1700520775.738974,106528.000,12105,1,SF,1,100,84.4362
1700520776.070297,106852.000,12155,1,SF,1,100,85.5417
1700520776.401621,107176.000,12188,1,SF,1,100,84.5521
1700520776.799413,107565.000,12239,1,SF,1,100,85.6563
