RD,TS_received,TS_sent,AK,RoundTrip,
2327904,2333009,2023-11-16_09-43-15-283081,2333018,5105,
2333031,
2338149,
2343257,2348373,2023-11-16_09-43-30-841206,2348381,5116,
2348393,0,,2353502,-2348393,
2353502,0,,2358612,-2353502,
2358613,2363725,2023-11-16_09-43-47-291263,2363728,5112,
2363729,2368840,2023-11-16_09-43-52-374661,2368849,5111,
2368861,2373997,2023-11-16_09-43-56-610523,2374000,5136,
2374001,2379120,2023-11-16_09-44-02-178896,2379130,5119,
2379143,2384228,2023-11-16_09-44-08-132333,2384237,5085,
2384250,2389352,2023-11-16_09-44-13-418377,2389355,5102,
2389356,2394480,2023-11-16_09-44-18-530265,2394483,5124,
2394483,
2399583,
2404691,2409825,2023-11-16_09-44-34-003401,2409834,5134,
2409845,
2414907,
2420017,2425133,2023-11-16_09-44-48-584964,2425136,5116,
2425136,
2430240,
2435360,
2440468,0,,2445580,-2440468,
2445580,2450704,2023-11-16_09-45-16-000820,2450707,5124,
2450707,0,,2455821,-2450707,
2455822,
2460927,
2466034,2471150,2023-11-16_09-45-36-815091,2471153,5116,
2471153,2476283,2023-11-16_09-45-41-632300,2476292,5130,
2476304,2481384,2023-11-16_09-45-47-567695,2481393,5080,
2481404,2486492,2023-11-16_09-45-52-664342,2486501,5088,
2486513,2491642,2023-11-16_09-45-57-460935,2491646,5129,
2491646,
2496755,
2501863,2506997,2023-11-16_09-46-13-999582,2507007,5134,
2507019,
2512083,2517240,2023-11-16_09-46-24-232628,2517242,5157,
2517243,
2522339,
2527447,2532564,2023-11-16_09-46-40-109733,2532566,5117,
2532567,2537691,2023-11-16_09-46-44-865796,2537700,5124,
2537712,2542798,2023-11-16_09-46-50-064672,2542808,5086,
2542819,2547930,2023-11-16_09-46-55-357211,2547933,5111,
2547933,2553044,2023-11-16_09-47-00-356412,2553047,5111,
2553047,2558151,2023-11-16_09-47-06-042518,2558154,5104,
2558155,
2563264,
2568372,
2573495,
2578622,
2583734,
2588842,2593958,2023-11-16_09-47-42-568497,2593966,5116,
2593969,2599078,2023-11-16_09-47-47-581289,2599081,5109,
2599081,2604201,2023-11-16_09-47-53-146622,2604203,5120,
2604204,2609332,2023-11-16_09-47-57-955480,2609341,5128,
2609353,2614474,2023-11-16_09-48-03-253342,2614483,5121,
2614495,2619583,2023-11-16_09-48-08-466669,2619586,5088,
2619586,2624712,2023-11-16_09-48-13-308642,2624714,5126,
2624715,0,,2629842,-2624715,
2629843,2634960,2023-11-16_09-48-24-609276,2634969,5117,
2634981,2640084,2023-11-16_09-48-29-747604,2640093,5103,
2640106,2645223,2023-11-16_09-48-35-569585,2645225,5117,
2645226,
2650321,2655438,2023-11-16_09-48-45-644176,2655447,5117,
2655460,
2660537,0,,2665647,-2660537,
2665647,
2670753,
2675873,2680989,2023-11-16_09-49-11-393122,2680998,5116,
2681010,2686120,2023-11-16_09-49-17-124612,2686123,5110,
2686123,
2691262,2696391,2023-11-16_09-49-26-860171,2696400,5129,
2696403,2701510,2023-11-16_09-49-32-953053,2701513,5107,
2701513,
2706634,2711750,2023-11-16_09-49-40-941605,2711759,5116,
2711762,2716894,2023-11-16_09-49-48-846769,2716904,5132,
2716916,2722001,2023-11-16_09-49-53-245815,2722005,5085,
2722005,2727110,2023-11-16_09-49-58-250309,2727113,5105,
2727114,2732235,2023-11-16_09-50-03-450140,2732237,5121,
2732238,2737351,2023-11-16_09-50-08-638344,2737354,5113,
2737354,0,,2742470,-2737354,
2742471,2747586,2023-11-16_09-50-19-130897,2747595,5115,
2747607,2752709,2023-11-16_09-50-24-805967,2752717,5102,
2752730,2757815,2023-11-16_09-50-30-787446,2757819,5085,
2757819,2762927,2023-11-16_09-50-35-012116,2762936,5108,
2762949,2768080,2023-11-16_09-50-39-701851,2768082,5131,
2768083,2773193,2023-11-16_09-50-46-000045,2773203,5110,
