LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1700427453.528061,628244.500,31474,4,DC,2,100,2
1700427453.553858,628269.750,31474,4,DC,2,100,EL
1700427453.579654,628295.000,31474,4,DC,2,100,2
1700427453.605451,628320.250,31491,4,DC,2,100,EA
1700427453.631247,628345.500,31491,4,DC,2,100,1
1700427453.657043,628370.750,31491,4,DC,2,100,EL
1700427453.682840,628396.000,31491,4,DC,2,100,1
1700427453.708892,628421.500,31508,4,DC,2,100,EA
1700427453.734943,628447.000,31508,4,DC,2,100,2
1700427453.760995,628472.500,31508,4,DC,2,100,EL
1700427453.787047,628498.000,31508,4,DC,2,100,2
1700427453.812844,628523.250,31526,4,DC,2,100,EA
1700427453.838640,628548.500,31526,4,DC,2,100,2
1700427453.864436,628573.750,31526,4,DC,2,100,EL
1700427453.890233,628599.000,31526,4,DC,2,100,2
1700427453.915774,628624.000,31542,4,DC,2,100,EA
1700427453.941315,628649.000,31542,4,DC,2,100,1
1700427453.966856,628674.000,31542,4,DC,2,100,EL
1700427453.992397,628699.000,31542,4,DC,2,100,1
1700427454.018449,628724.500,31562,4,DC,2,100,EA
1700427454.044501,628750.000,31562,4,DC,2,100,2
1700427454.070552,628775.500,31562,4,DC,2,100,EL
1700427454.096604,628801.000,31562,4,DC,2,100,2
1700427454.122145,628826.000,31578,4,DC,2,100,EA
1700427454.147686,628851.000,31578,4,DC,2,100,1
1700427454.173227,628876.000,31578,4,DC,2,100,EL
1700427454.198768,628901.000,31578,4,DC,2,100,1
1700427454.224565,628926.250,31594,4,DC,2,100,EA
1700427454.250361,628951.500,31594,4,DC,2,100,2
1700427454.276157,628976.750,31594,4,DC,2,100,EL
1700427454.301954,629002.000,31594,4,DC,2,100,2
1700427454.328006,629027.500,31611,4,DC,2,100,EA
1700427454.354058,629053.000,31611,4,DC,2,100,1
1700427454.380109,629078.500,31611,4,DC,2,100,EL
1700427454.406161,629104.000,31611,4,DC,2,100,1
1700427454.431702,629129.000,31628,4,DC,2,100,EA
1700427454.457243,629154.000,31628,4,DC,2,100,2
1700427454.482784,629179.000,31628,4,DC,2,100,EL
1700427454.508325,629204.000,31628,4,DC,2,100,2
1700427454.534122,629229.250,31644,4,DC,2,100,EA
1700427454.559918,629254.500,31644,4,DC,2,100,1
1700427454.585715,629279.750,31644,4,DC,2,100,EL
1700427454.611511,629305.000,31644,4,DC,2,100,1
1700427454.637563,629330.500,31662,4,DC,2,100,EA
1700427454.663615,629356.000,31662,4,DC,2,100,2
1700427454.689667,629381.500,31662,4,DC,2,100,EL
1700427454.715718,629407.000,31662,4,DC,2,100,2
1700427454.741259,629432.000,31677,4,DC,2,100,EA
1700427454.766800,629457.000,31677,4,DC,2,100,2
1700427454.792341,629482.000,31677,4,DC,2,100,EL
1700427454.817882,629507.000,31677,4,DC,2,100,2
1700427454.843934,629532.500,31696,4,DC,2,100,EA
1700427454.869986,629558.000,31696,4,DC,2,100,1
1700427454.896038,629583.500,31696,4,DC,2,100,EL
1700427454.922090,629609.000,31696,4,DC,2,100,1
1700427454.947886,629634.250,31713,4,DC,2,100,EA
1700427454.973682,629659.500,31713,4,DC,2,100,2
1700427454.999479,629684.750,31713,4,DC,2,100,EL
1700427455.025275,629710.000,31713,4,DC,2,100,2
1700427455.050816,629735.000,31732,4,DC,2,100,EA
1700427455.076357,629760.000,31732,4,DC,2,100,1
1700427455.101898,629785.000,31732,4,DC,2,100,EL
1700427455.127439,629810.000,31732,4,DC,2,100,1
1700427455.153236,629835.250,31747,4,DC,2,100,EA
1700427455.179032,629860.500,31747,4,DC,2,100,2
1700427455.204829,629885.750,31747,4,DC,2,100,EL
1700427455.230625,629911.000,31747,4,DC,2,100,2
1700427455.256421,629936.250,31764,4,DC,2,100,EA
1700427455.282218,629961.500,31764,4,DC,2,100,1
1700427455.308014,629986.750,31764,4,DC,2,100,EL
1700427455.333811,630012.000,31764,4,DC,2,100,1
1700427455.359863,630037.500,31781,4,DC,2,100,EA
1700427455.385914,630063.000,31781,4,DC,2,100,2
1700427455.411966,630088.500,31781,4,DC,2,100,EL
1700427455.438018,630114.000,31781,4,DC,2,100,2
1700427455.463559,630139.000,31798,4,DC,2,100,EA
1700427455.489100,630164.000,31798,4,DC,2,100,1
1700427455.514641,630189.000,31798,4,DC,2,100,EL
1700427455.540182,630214.000,31798,4,DC,2,100,1
1700427455.565979,630239.250,31814,4,DC,2,100,EA
1700427455.591775,630264.500,31814,4,DC,2,100,2
1700427455.617571,630289.750,31814,4,DC,2,100,EL
1700427455.643368,630315.000,31814,4,DC,2,100,2
1700427455.669420,630340.500,31831,4,DC,2,100,EA
1700427455.695471,630366.000,31831,4,DC,2,100,2
1700427455.721523,630391.500,31831,4,DC,2,100,EL
1700427455.747575,630417.000,31831,4,DC,2,100,2
1700427455.773116,630442.000,31847,4,DC,2,100,EA
1700427455.798657,630467.000,31847,4,DC,2,100,1
1700427455.824198,630492.000,31847,4,DC,2,100,EL
1700427455.849739,630517.000,31847,4,DC,2,100,1
1700427455.875535,630542.250,31864,4,DC,2,100,EA
1700427455.901332,630567.500,31864,4,DC,2,100,2
1700427455.927128,630592.750,31864,4,DC,2,100,EL
1700427455.952925,630618.000,31864,4,DC,2,100,2
1700427455.978976,630643.500,31881,4,DC,2,100,EA
1700427456.005028,630669.000,31881,4,DC,2,100,1
1700427456.031080,630694.500,31881,4,DC,2,100,EL
1700427456.057132,630720.000,31881,4,DC,2,100,1
1700427456.082673,630745.000,31899,4,DC,2,100,EA
1700427456.108214,630770.000,31899,4,DC,2,100,2
1700427456.133755,630795.000,31899,4,DC,2,100,EL
1700427456.159296,630820.000,31899,4,DC,2,100,2
1700427456.185092,630845.250,31915,4,DC,2,100,EA
1700427456.210889,630870.500,31915,4,DC,2,100,1
1700427456.236685,630895.750,31915,4,DC,2,100,EL
1700427456.262482,630921.000,31915,4,DC,2,100,1
1700427456.288534,630946.500,31933,4,DC,2,100,EA
1700427456.314585,630972.000,31933,4,DC,2,100,2
1700427456.340637,630997.500,31933,4,DC,2,100,EL
1700427456.366689,631023.000,31933,4,DC,2,100,2
1700427456.392230,631048.000,31949,4,DC,2,100,EA
1700427456.417771,631073.000,31949,4,DC,2,100,1
1700427456.443312,631098.000,31949,4,DC,2,100,EL
1700427456.468853,631123.000,31949,4,DC,2,100,1
1700427456.494650,631148.250,31965,4,DC,2,100,EA
1700427456.520446,631173.500,31965,4,DC,2,100,2
1700427456.546242,631198.750,31965,4,DC,2,100,EL
1700427456.572039,631224.000,31965,4,DC,2,100,2
1700427456.597835,631249.250,31981,4,DC,2,100,EA
1700427456.623632,631274.500,31981,4,DC,2,100,1
1700427456.649428,631299.750,31981,4,DC,2,100,EL
1700427456.675225,631325.000,31981,4,DC,2,100,1
1700427456.701276,631350.500,31999,4,DC,2,100,EA
1700427456.727328,631376.000,31999,4,DC,2,100,2
1700427456.753380,631401.500,31999,4,DC,2,100,EL
1700427456.779432,631427.000,31999,4,DC,2,100,2
1700427456.805228,631452.250,32017,4,DC,2,100,EA
1700427456.831025,631477.500,32017,4,DC,2,100,2
1700427456.856821,631502.750,32017,4,DC,2,100,EL
1700427456.882617,631528.000,32017,4,DC,2,100,2
1700427456.908159,631553.000,32034,4,DC,2,100,EA
1700427456.933700,631578.000,32034,4,DC,2,100,1
1700427456.959240,631603.000,32034,4,DC,2,100,EL
1700427456.984782,631628.000,32034,4,DC,2,100,1
1700427457.010833,631653.500,32052,4,DC,2,100,EA
1700427457.036885,631679.000,32052,4,DC,2,100,2
1700427457.062937,631704.500,32052,4,DC,2,100,EL
1700427457.088989,631730.000,32052,4,DC,2,100,2
1700427457.114530,631755.000,32069,4,DC,2,100,EA
1700427457.140071,631780.000,32069,4,DC,2,100,1
1700427457.165612,631805.000,32069,4,DC,2,100,EL
1700427457.191153,631830.000,32069,4,DC,2,100,1
1700427457.219759,631858.000,32085,4,DC,2,100,EA
1700427457.248365,631886.000,32085,4,DC,2,100,2
1700427457.276971,631914.000,32085,4,DC,2,100,EL
1700427457.305577,631942.000,32085,4,DC,2,100,2
1700427457.331629,631967.500,32103,4,DC,2,100,EA
1700427457.357680,631993.000,32103,4,DC,2,100,1
1700427457.383732,632018.500,32103,4,DC,2,100,EL
1700427457.409784,632044.000,32103,4,DC,2,100,1
1700427457.435325,632069.000,32119,4,DC,2,100,EA
1700427457.460866,632094.000,32119,4,DC,2,100,2
1700427457.486407,632119.000,32119,4,DC,2,100,EL
1700427457.511948,632144.000,32119,4,DC,2,100,2
1700427457.537744,632169.250,32135,4,DC,2,100,EA
1700427457.563541,632194.500,32135,4,DC,2,100,2
1700427457.589337,632219.750,32135,4,DC,2,100,EL
1700427457.615134,632245.000,32135,4,DC,2,100,2
1700427457.641441,632270.750,32154,4,DC,2,100,EA
1700427457.667748,632296.500,32154,4,DC,2,100,1
1700427457.694055,632322.250,32154,4,DC,2,100,EL
1700427457.720363,632348.000,32154,4,DC,2,100,1
1700427457.745904,632373.000,32171,4,DC,2,100,EA
1700427457.771445,632398.000,32171,4,DC,2,100,2
1700427457.796986,632423.000,32171,4,DC,2,100,EL
1700427457.822527,632448.000,32171,4,DC,2,100,2
1700427457.848068,632473.000,32187,4,DC,2,100,EA
1700427457.873609,632498.000,32187,4,DC,2,100,1
1700427457.899150,632523.000,32187,4,DC,2,100,EL
1700427457.924691,632548.000,32187,4,DC,2,100,1
1700427457.950742,632573.500,32204,4,DC,2,100,EA
1700427457.976794,632599.000,32204,4,DC,2,100,2
1700427458.002846,632624.500,32204,4,DC,2,100,EL
1700427458.028898,632650.000,32204,4,DC,2,100,2
1700427458.054439,632675.000,32222,4,DC,2,100,EA
1700427458.079980,632700.000,32222,4,DC,2,100,1
1700427458.105521,632725.000,32222,4,DC,2,100,EL
1700427458.131062,632750.000,32222,4,DC,2,100,1
1700427458.156858,632775.250,32239,4,DC,2,100,EA
1700427458.182655,632800.500,32239,4,DC,2,100,2
1700427458.208451,632825.750,32239,4,DC,2,100,EL
1700427458.234248,632851.000,32239,4,DC,2,100,2
1700427458.260044,632876.250,32255,4,DC,2,100,EA
1700427458.285841,632901.500,32255,4,DC,2,100,1
1700427458.311637,632926.750,32255,4,DC,2,100,EL
1700427458.337433,632952.000,32255,4,DC,2,100,1
1700427458.363485,632977.500,32273,4,DC,2,100,EA
1700427458.389537,633003.000,32273,4,DC,2,100,2
1700427458.415589,633028.500,32273,4,DC,2,100,EL
1700427458.441641,633054.000,32273,4,DC,2,100,2
