LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1700036198.434008,918539.500,13400,2,RD,1,100,TL
1700036201.049068,921094.000,13400,2,RD,1,100,TU
1700036203.678460,923662.500,14200,2,RD,1,100,TL
1700036206.307852,926231.000,14200,2,RD,1,100,TU
1700036208.931102,928793.500,15011,2,RD,1,100,TL
1700036211.554352,931356.000,15011,2,RD,1,100,TU
1700036214.178113,933919.000,15799,2,RD,1,100,TL
1700036216.801875,936482.000,15799,2,RD,1,100,TU
1700036219.415912,939035.500,16588,2,RD,1,100,TL
1700036222.029948,941589.000,16588,2,RD,1,100,TU
1700036224.640913,944139.500,17398,2,RD,1,100,TL
1700036227.251879,946690.000,17398,2,RD,1,100,TU
1700036229.874617,949252.000,18164,2,RD,1,100,TL
1700036232.497355,951814.000,18164,2,RD,1,100,TU
1700036235.119069,954375.000,18970,2,RD,1,100,TL
1700036237.740783,956936.000,18970,2,RD,1,100,TU
