LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1700035296.271008,37269.000,3656,3,AX,1,100,0.161
1700035296.310933,37308.000,3656,3,AX,1,100,0.155
1700035296.350857,37347.000,3672,3,AX,1,100,0.154
1700035296.390782,37386.000,3672,3,AX,1,100,0.154
1700035296.430707,37425.000,3672,3,AX,1,100,0.157
1700035296.465854,37459.333,3687,3,AX,1,100,0.150
1700035296.501001,37493.667,3687,3,AX,1,100,0.153
1700035296.536148,37528.000,3687,3,AX,1,100,0.150
1700035296.576073,37567.000,3705,2,AX,1,100,0.149
1700035296.615998,37606.000,3705,2,AX,1,100,0.153
1700035296.655581,37644.667,3721,3,AX,1,100,0.149
1700035296.695164,37683.333,3721,3,AX,1,100,0.151
1700035296.734748,37722.000,3721,3,AX,1,100,0.157
1700035296.774672,37761.000,3741,2,AX,1,100,0.163
1700035296.814597,37800.000,3741,2,AX,1,100,0.161
1700035296.855204,37839.667,3757,3,AX,1,100,0.159
1700035296.895811,37879.333,3757,3,AX,1,100,0.156
1700035296.936418,37919.000,3757,3,AX,1,100,0.153
1700035296.976854,37958.500,3774,2,AX,1,100,0.151
1700035297.017291,37998.000,3774,2,AX,1,100,0.157
1700035297.057215,38037.000,3789,3,AX,1,100,0.144
1700035297.097140,38076.000,3789,3,AX,1,100,0.158
1700035297.137064,38115.000,3789,3,AX,1,100,0.154
1700035297.176989,38154.000,3805,3,AX,1,100,0.156
1700035297.216914,38193.000,3805,3,AX,1,100,0.156
1700035297.256838,38232.000,3805,3,AX,1,100,0.160
1700035297.296763,38271.000,3821,2,AX,1,100,0.155
1700035297.336688,38310.000,3821,2,AX,1,100,0.154
1700035297.376271,38348.667,3838,3,AX,1,100,0.156
1700035297.415854,38387.333,3838,3,AX,1,100,0.152
1700035297.455437,38426.000,3838,3,AX,1,100,0.151
1700035297.495362,38465.000,3853,2,AX,1,100,0.158
1700035297.535287,38504.000,3853,2,AX,1,100,0.151
1700035297.575894,38543.667,3869,3,AX,1,100,0.148
1700035297.616501,38583.333,3869,3,AX,1,100,0.145
1700035297.657108,38623.000,3869,3,AX,1,100,0.154
1700035297.697032,38662.000,3885,3,AX,1,100,0.143
1700035297.736957,38701.000,3885,3,AX,1,100,0.146
1700035297.776882,38740.000,3885,3,AX,1,100,0.145
1700035297.816806,38779.000,3904,2,AX,1,100,0.145
1700035297.856731,38818.000,3904,2,AX,1,100,0.154
1700035297.896655,38857.000,3919,3,AX,1,100,0.153
1700035297.936580,38896.000,3919,3,AX,1,100,0.154
1700035297.976505,38935.000,3919,3,AX,1,100,0.159
1700035298.016088,38973.667,3936,3,AX,1,100,0.152
1700035298.055671,39012.333,3936,3,AX,1,100,0.149
1700035298.095254,39051.000,3936,3,AX,1,100,0.153
1700035298.129037,39084.000,3951,2,AX,1,100,0.156
1700035298.162819,39117.000,3951,2,AX,1,100,0.160
1700035298.202744,39156.000,3969,3,AX,1,100,0.149
1700035298.242668,39195.000,3969,3,AX,1,100,0.157
1700035298.282593,39234.000,3969,3,AX,1,100,0.141
1700035298.322518,39273.000,3984,3,AX,1,100,0.159
1700035298.362442,39312.000,3984,3,AX,1,100,0.155
1700035298.402367,39351.000,3984,3,AX,1,100,0.160
1700035298.442291,39390.000,4004,2,AX,1,100,0.150
1700035298.482216,39429.000,4004,2,AX,1,100,0.154
1700035298.522141,39468.000,4019,3,AX,1,100,0.151
1700035298.562065,39507.000,4019,3,AX,1,100,0.175
1700035298.601990,39546.000,4019,3,AX,1,100,0.163
1700035298.641914,39585.000,4036,2,AX,1,100,0.146
1700035298.681839,39624.000,4036,2,AX,1,100,0.165
1700035298.721763,39663.000,4052,3,AX,1,100,0.161
1700035298.761688,39702.000,4052,3,AX,1,100,0.140
1700035298.801613,39741.000,4052,3,AX,1,100,0.153
1700035298.841196,39779.667,4068,3,AX,1,100,0.153
1700035298.880779,39818.333,4068,3,AX,1,100,0.154
1700035298.920362,39857.000,4068,3,AX,1,100,0.164
1700035298.959775,39895.500,4083,2,AX,1,100,0.154
1700035298.999188,39934.000,4083,2,AX,1,100,0.155
1700035299.039113,39973.000,4100,3,AX,1,100,0.158
1700035299.079037,40012.000,4100,3,AX,1,100,0.157
1700035299.118962,40051.000,4100,3,AX,1,100,0.160
1700035299.159569,40090.667,4115,3,AX,1,100,0.153
1700035299.200176,40130.333,4115,3,AX,1,100,0.159
1700035299.240783,40170.000,4115,3,AX,1,100,0.154
1700035299.281219,40209.500,4130,2,AX,1,100,0.150
1700035299.321656,40249.000,4130,2,AX,1,100,0.153
1700035299.361580,40288.000,4148,3,AX,1,100,0.153
1700035299.401505,40327.000,4148,3,AX,1,100,0.160
1700035299.441430,40366.000,4148,3,AX,1,100,0.158
1700035299.481354,40405.000,4164,2,AX,1,100,0.149
1700035299.521279,40444.000,4164,2,AX,1,100,0.146
1700035299.560521,40482.333,4179,3,AX,1,100,0.146
1700035299.599763,40520.667,4179,3,AX,1,100,0.154
1700035299.639005,40559.000,4179,3,AX,1,100,0.154
1700035299.679339,40598.400,4201,5,AX,1,100,0.175
1700035299.719673,40637.800,4201,5,AX,1,100,0.126
1700035299.760007,40677.200,4201,5,AX,1,100,0.157
1700035299.800341,40716.600,4201,5,AX,1,100,0.149
1700035299.840675,40756.000,4201,5,AX,1,100,0.165
1700035299.881624,40796.000,4218,2,AX,1,100,0.158
1700035299.922572,40836.000,4218,2,AX,1,100,0.156
1700035299.958061,40870.667,4237,3,AX,1,100,0.155
1700035299.993549,40905.333,4237,3,AX,1,100,0.153
1700035300.029037,40940.000,4237,3,AX,1,100,0.164
1700035300.068962,40979.000,4251,3,AX,1,100,0.171
1700035300.108887,41018.000,4251,3,AX,1,100,0.147
1700035300.148811,41057.000,4251,3,AX,1,100,0.153
1700035300.188736,41096.000,4269,2,AX,1,100,0.170
1700035300.228660,41135.000,4269,2,AX,1,100,0.145
1700035300.268244,41173.667,4286,3,AX,1,100,0.166
1700035300.307827,41212.333,4286,3,AX,1,100,0.180
1700035300.347410,41251.000,4286,3,AX,1,100,0.170
1700035300.386823,41289.500,4303,2,AX,1,100,0.146
1700035300.426236,41328.000,4303,2,AX,1,100,0.181
1700035300.466161,41367.000,4318,3,AX,1,100,0.153
1700035300.506085,41406.000,4318,3,AX,1,100,0.172
1700035300.546010,41445.000,4318,3,AX,1,100,0.170
1700035300.585934,41484.000,4335,3,AX,1,100,0.175
1700035300.625859,41523.000,4335,3,AX,1,100,0.175
1700035300.665783,41562.000,4335,3,AX,1,100,0.171
1700035300.705708,41601.000,4355,2,AX,1,100,0.166
1700035300.745633,41640.000,4355,2,AX,1,100,0.169
1700035300.785557,41679.000,4371,3,AX,1,100,0.155
1700035300.825482,41718.000,4371,3,AX,1,100,0.175
1700035300.865406,41757.000,4371,3,AX,1,100,0.168
1700035300.905331,41796.000,4386,2,AX,1,100,0.162
1700035300.945256,41835.000,4386,2,AX,1,100,0.206
1700035300.984498,41873.333,4402,3,AX,1,100,0.149
1700035301.023740,41911.667,4402,3,AX,1,100,0.173
1700035301.062982,41950.000,4402,3,AX,1,100,0.160
1700035301.102906,41989.000,4419,3,AX,1,100,0.161
1700035301.142831,42028.000,4419,3,AX,1,100,0.176
1700035301.182756,42067.000,4419,3,AX,1,100,0.172
1700035301.222680,42106.000,4435,2,AX,1,100,0.175
1700035301.262605,42145.000,4435,2,AX,1,100,0.181
1700035301.302529,42184.000,4451,3,AX,1,100,0.167
1700035301.342454,42223.000,4451,3,AX,1,100,0.204
1700035301.382379,42262.000,4451,3,AX,1,100,0.184
1700035301.422303,42301.000,4467,2,AX,1,100,0.187
1700035301.462228,42340.000,4467,2,AX,1,100,0.195
1700035301.502152,42379.000,4481,3,AX,1,100,0.194
1700035301.542077,42418.000,4481,3,AX,1,100,0.169
1700035301.582001,42457.000,4481,3,AX,1,100,0.152
1700035301.617149,42491.333,4500,3,AX,1,100,0.172
1700035301.652296,42525.667,4500,3,AX,1,100,0.221
1700035301.687443,42560.000,4500,3,AX,1,100,0.152
1700035301.727027,42598.667,4517,3,AX,1,100,0.194
1700035301.766610,42637.333,4517,3,AX,1,100,0.186
1700035301.806193,42676.000,4517,3,AX,1,100,0.170
1700035301.846118,42715.000,4535,2,AX,1,100,0.182
1700035301.886043,42754.000,4535,2,AX,1,100,0.179
1700035301.926650,42793.667,4549,3,AX,1,100,0.160
1700035301.967257,42833.333,4549,3,AX,1,100,0.175
1700035302.007864,42873.000,4549,3,AX,1,100,0.179
1700035302.047788,42912.000,4566,2,AX,1,100,0.164
1700035302.087713,42951.000,4566,2,AX,1,100,0.184
1700035302.127637,42990.000,4581,3,AX,1,100,0.160
1700035302.167562,43029.000,4581,3,AX,1,100,0.175
1700035302.207487,43068.000,4581,3,AX,1,100,0.188
1700035302.247411,43107.000,4599,2,AX,1,100,0.178
1700035302.287336,43146.000,4599,2,AX,1,100,0.181
1700035302.327260,43185.000,4615,3,AX,1,100,0.171
1700035302.367185,43224.000,4615,3,AX,1,100,0.166
1700035302.407109,43263.000,4615,3,AX,1,100,0.176
1700035302.446693,43301.667,4630,3,AX,1,100,0.161
1700035302.486276,43340.333,4630,3,AX,1,100,0.155
1700035302.525860,43379.000,4630,3,AX,1,100,0.174
1700035302.566808,43419.000,4649,2,AX,1,100,0.156
1700035302.607756,43459.000,4649,2,AX,1,100,0.167
1700035302.647681,43498.000,4666,3,AX,1,100,0.206
1700035302.687605,43537.000,4666,3,AX,1,100,0.191
1700035302.727530,43576.000,4666,3,AX,1,100,0.174
1700035302.767454,43615.000,4683,2,AX,1,100,0.191
1700035302.807379,43654.000,4683,2,AX,1,100,0.170
1700035302.847304,43693.000,4698,3,AX,1,100,0.164
1700035302.887228,43732.000,4698,3,AX,1,100,0.159
1700035302.927153,43771.000,4698,3,AX,1,100,0.157
1700035302.967077,43810.000,4714,3,AX,1,100,0.172
1700035303.007002,43849.000,4714,3,AX,1,100,0.160
1700035303.046926,43888.000,4714,3,AX,1,100,0.186
1700035303.086851,43927.000,4730,2,AX,1,100,0.177
1700035303.126776,43966.000,4730,2,AX,1,100,0.174
1700035303.166700,44005.000,4745,3,AX,1,100,0.178
1700035303.206625,44044.000,4745,3,AX,1,100,0.153
1700035303.246549,44083.000,4745,3,AX,1,100,0.181
1700035303.285450,44121.000,4763,2,AX,1,100,0.144
1700035303.324351,44159.000,4763,2,AX,1,100,0.174
1700035303.359840,44193.667,4778,3,AX,1,100,0.184
1700035303.395328,44228.333,4778,3,AX,1,100,0.203
1700035303.430817,44263.000,4778,3,AX,1,100,0.192
1700035303.471082,44302.333,4794,3,AX,1,100,0.164
1700035303.511348,44341.667,4794,3,AX,1,100,0.207
1700035303.551614,44381.000,4794,3,AX,1,100,0.163
1700035303.592562,44421.000,4809,2,AX,1,100,0.203
1700035303.633511,44461.000,4809,2,AX,1,100,0.133
1700035303.673435,44500.000,4832,3,AX,1,100,0.159
1700035303.713360,44539.000,4832,3,AX,1,100,0.174
1700035303.753284,44578.000,4832,3,AX,1,100,0.212
1700035303.793209,44617.000,4846,3,AX,1,100,0.191
1700035303.833134,44656.000,4846,3,AX,1,100,0.134
1700035303.873058,44695.000,4846,3,AX,1,100,0.178
1700035303.911959,44733.000,4862,2,AX,1,100,0.171
1700035303.950860,44771.000,4862,2,AX,1,100,0.168
1700035303.990785,44810.000,4878,3,AX,1,100,0.156
1700035304.030709,44849.000,4878,3,AX,1,100,0.189
1700035304.070634,44888.000,4878,3,AX,1,100,0.150
1700035304.110558,44927.000,4894,2,AX,1,100,0.139
1700035304.150483,44966.000,4894,2,AX,1,100,0.157
1700035304.191431,45006.000,4908,3,AX,1,100,0.177
1700035304.232379,45046.000,4908,3,AX,1,100,0.153
1700035304.273328,45086.000,4908,3,AX,1,100,0.142
1700035304.313252,45125.000,4925,3,AX,1,100,0.150
1700035304.353177,45164.000,4925,3,AX,1,100,0.152
1700035304.393101,45203.000,4925,3,AX,1,100,0.143
1700035304.433026,45242.000,4942,2,AX,1,100,0.136
1700035304.472951,45281.000,4942,2,AX,1,100,0.139
1700035304.512193,45319.333,4958,3,AX,1,100,0.143
1700035304.551435,45357.667,4958,3,AX,1,100,0.137
1700035304.590677,45396.000,4958,3,AX,1,100,0.135
1700035304.630602,45435.000,4976,2,AX,1,100,0.142
1700035304.670526,45474.000,4976,2,AX,1,100,0.115
1700035304.710451,45513.000,4993,3,AX,1,100,0.137
1700035304.750375,45552.000,4993,3,AX,1,100,0.165
1700035304.790300,45591.000,4993,3,AX,1,100,0.109
1700035304.831248,45631.000,5008,2,AX,1,100,0.137
1700035304.872196,45671.000,5008,2,AX,1,100,0.142
1700035304.912462,45710.333,5031,3,AX,1,100,0.119
1700035304.952728,45749.667,5031,3,AX,1,100,0.121
1700035304.992994,45789.000,5031,3,AX,1,100,0.129
1700035305.032918,45828.000,5047,3,AX,1,100,0.129
1700035305.072843,45867.000,5047,3,AX,1,100,0.140
1700035305.112768,45906.000,5047,3,AX,1,100,0.140
1700035305.148256,45940.667,5063,3,AX,1,100,0.143
1700035305.183745,45975.333,5063,3,AX,1,100,0.138
1700035305.219233,46010.000,5063,3,AX,1,100,0.141
1700035305.259158,46049.000,5077,2,AX,1,100,0.130
1700035305.299083,46088.000,5077,2,AX,1,100,0.133
1700035305.338325,46126.333,5096,3,AX,1,100,0.121
1700035305.377567,46164.667,5096,3,AX,1,100,0.124
1700035305.416809,46203.000,5096,3,AX,1,100,0.127
1700035305.456733,46242.000,5111,3,AX,1,100,0.138
1700035305.496658,46281.000,5111,3,AX,1,100,0.130
1700035305.536582,46320.000,5111,3,AX,1,100,0.141
1700035305.576507,46359.000,5127,2,AX,1,100,0.142
1700035305.616432,46398.000,5127,2,AX,1,100,0.132
1700035305.656356,46437.000,5143,3,AX,1,100,0.135
1700035305.696281,46476.000,5143,3,AX,1,100,0.133
1700035305.736205,46515.000,5143,3,AX,1,100,0.135
1700035305.776130,46554.000,5160,3,AX,1,100,0.129
1700035305.816055,46593.000,5160,3,AX,1,100,0.126
1700035305.855979,46632.000,5160,3,AX,1,100,0.129
1700035305.895904,46671.000,5175,2,AX,1,100,0.127
1700035305.935828,46710.000,5175,2,AX,1,100,0.131
1700035305.975070,46748.333,5192,3,AX,1,100,0.140
1700035306.014313,46786.667,5192,3,AX,1,100,0.137
1700035306.053555,46825.000,5192,3,AX,1,100,0.140
1700035306.093479,46864.000,5207,3,AX,1,100,0.132
1700035306.133404,46903.000,5207,3,AX,1,100,0.132
1700035306.173328,46942.000,5207,3,AX,1,100,0.136
