LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1672411701.722438,231263.000,34900,1,TL,1,100,2022-12-30_15-48-21-688703
1672411706.945028,236364.000,35665,1,TL,1,100,2022-12-30_15-48-21-890522
1672411707.059697,236476.000,35668,1,TL,1,100,2022-12-30_15-48-27-021289
1672411712.219833,241516.000,36488,1,TL,1,100,2022-12-30_15-48-27-084143
1672411712.284335,241579.000,36491,1,TL,1,100,2022-12-30_15-48-32-244585
1672411717.425018,246600.000,37295,1,TL,1,100,2022-12-30_15-48-32-352356
1672411717.506925,246680.000,37298,1,TL,1,100,2022-12-30_15-48-37-464983
1672411722.673203,251726.000,38118,1,TL,1,100,2022-12-30_15-48-37-564425
1672411722.741801,251793.000,38121,1,TL,1,100,2022-12-30_15-48-42-691147
1672411727.923437,256854.000,38936,1,TL,1,100,2022-12-30_15-48-42-796663
1672411727.971557,256901.000,38939,1,TL,1,100,2022-12-30_15-48-47-912682
1672411733.171623,261980.000,39759,1,TL,1,100,2022-12-30_15-48-48-038058
1672411738.459738,267145.000,40579,1,TL,1,100,2022-12-30_15-48-53-337620
1672411738.511954,267196.000,40582,1,TL,1,100,2022-12-30_15-48-58-460100
1672411743.672090,272236.000,41390,1,TL,1,100,2022-12-30_15-48-58-587426
1672411743.706900,272270.000,41393,1,TL,1,100,2022-12-30_15-49-03-671831
1672411748.931538,277373.000,42213,1,TL,1,100,2022-12-30_15-49-03-810283
1672411748.955086,277396.000,42216,1,TL,1,100,2022-12-30_15-49-08-908790
1672411754.176652,282496.000,43035,1,TL,1,100,2022-12-30_15-49-09-108711
1672411754.201224,282520.000,43038,1,TL,1,100,2022-12-30_15-49-14-157417
1672411759.408456,287606.000,43864,1,TL,1,100,2022-12-30_15-49-14-332495
1672411759.433028,287630.000,43867,1,TL,1,100,2022-12-30_15-49-19-381420
1672411764.651523,292727.000,44685,1,TL,1,100,2022-12-30_15-49-19-553111
1672411764.733430,292807.000,44688,1,TL,1,100,2022-12-30_15-49-24-680982
1672411769.944757,297897.000,45498,1,TL,1,100,2022-12-30_15-49-24-776802
1672411770.044070,297994.000,45501,1,TL,1,100,2022-12-30_15-49-29-997018
1672411775.185776,303016.000,46325,1,TL,1,100,2022-12-30_15-49-30-075189
1672411775.210348,303040.000,46328,1,TL,1,100,2022-12-30_15-49-35-159327
1672411780.417581,308126.000,47130,1,TL,1,100,2022-12-30_15-49-35-322712
1672411780.500511,308207.000,47133,1,TL,1,100,2022-12-30_15-49-40-447195
1672411785.652457,313239.000,47931,1,TL,1,100,2022-12-30_15-49-40-532692
1672411785.719006,313304.000,47934,1,TL,1,100,2022-12-30_15-49-45-665521
1672411790.882213,318347.000,48698,1,TL,1,100,2022-12-30_15-49-45-771216
1672411790.939548,318403.000,48701,1,TL,1,100,2022-12-30_15-49-50-888155
1672411796.148828,323491.000,49515,1,TL,1,100,2022-12-30_15-49-51-006179
1672411796.173400,323515.000,49518,1,TL,1,100,2022-12-30_15-49-56-125624
1672411801.394966,328615.000,50342,1,TL,1,100,2022-12-30_15-49-56-264497
1672411801.418514,328638.000,50345,1,TL,1,100,2022-12-30_15-50-01-363705
1672411806.695368,333792.000,51171,1,TL,1,100,2022-12-30_15-50-01-539383
1672411806.718916,333815.000,51174,1,TL,1,100,2022-12-30_15-50-06-659947
1672411811.921029,338896.000,51965,1,TL,1,100,2022-12-30_15-50-06-864475
1672411811.943553,338918.000,51968,1,TL,1,100,2022-12-30_15-50-11-889047
1672411817.149762,344003.000,52710,1,TL,1,100,2022-12-30_15-50-12-084716
1672411817.173310,344026.000,52713,1,TL,1,100,2022-12-30_15-50-17-127103
1672411822.379519,349111.000,53541,1,TL,1,100,2022-12-30_15-50-17-309470
1672411822.402043,349133.000,53544,1,TL,1,100,2022-12-30_15-50-22-351648
1672411827.638967,354248.000,54360,1,TL,1,100,2022-12-30_15-50-22-494245
1672411827.704492,354312.000,54363,1,TL,1,100,2022-12-30_15-50-27-650869
