RD,TS_received,TS_sent,AK,RoundTrip,
1476522,1476611,2022-12-30_16-09-36-697116,1476614,89,
1481633,1481652,2022-12-30_16-09-41-866267,1481655,19,
1486741,1486766,2022-12-30_16-09-47-100013,1486769,25,
1491871,1491914,2022-12-30_16-09-52-364563,1491917,43,
1496977,1497016,2022-12-30_16-09-57-586214,1497018,39,
1502083,1502107,2022-12-30_16-10-02-808249,1502110,24,
1507192,1507217,2022-12-30_16-10-08-032249,1507219,25,
1512300,1512319,2022-12-30_16-10-13-256314,1512322,19,
1517432,1517452,2022-12-30_16-10-18-508250,1517455,20,
1522546,1522622,2022-12-30_16-10-23-799107,1522625,76,
1527655,1527722,2022-12-30_16-10-29-022846,1527724,67,
1532804,1532823,2022-12-30_16-10-34-247194,1532826,19,
1537920,1537940,2022-12-30_16-10-39-482343,1537943,20,
1543041,1543129,2022-12-30_16-10-44-792996,1543135,88,
1548177,1548219,2022-12-30_16-10-50-017191,1548222,42,
1553284,1553320,2022-12-30_16-10-55-236675,1553323,36,
1558384,1558403,2022-12-30_16-11-00-440760,1558405,19,
1563500,1563525,2022-12-30_16-11-05-677927,1563527,25,
1568605,1568626,2022-12-30_16-11-10-904724,1568629,21,
1573711,1573730,2022-12-30_16-11-16-130172,1573733,19,
1578843,1578863,2022-12-30_16-11-21-379341,1578866,20,
1583965,1584032,2022-12-30_16-11-26-675393,1584037,67,
1589104,1589133,2022-12-30_16-11-31-897596,1589137,29,
1594201,1594221,2022-12-30_16-11-37-100633,1594230,20,
1599464,1599485,2022-12-30_16-11-42-494282,1599487,21,
1604581,1604627,2022-12-30_16-11-47-761299,1604630,46,
1609718,1609737,2022-12-30_16-11-52-992685,1609740,19,
1614864,1614936,2022-12-30_16-11-58-319939,1614941,72,
1619994,1620032,2022-12-30_16-12-03-539771,1620034,38,
1625129,1625149,2022-12-30_16-12-08-771894,1625151,20,
1630237,1630342,2022-12-30_16-12-14-085764,1635364,105,
1635376,1635397,2022-12-30_16-12-19-265051,1635399,21,
1640503,1640524,2022-12-30_16-12-24-509999,1640527,21,
1645633,1645653,2022-12-30_16-12-29-760956,1645656,20,
1650779,1650846,2022-12-30_16-12-35-079385,1650849,67,
1655903,1655960,2022-12-30_16-12-40-301138,1655966,57,
1661010,1661048,2022-12-30_16-12-45-523931,1661051,38,
1666141,1666163,2022-12-30_16-12-50-758430,1666165,22,
1671264,1671284,2022-12-30_16-12-56-003574,1671287,20,
1676373,1676450,2022-12-30_16-13-01-294476,1676453,77,
1681488,1681543,2022-12-30_16-13-06-515246,1681545,55,
1686609,1686648,2022-12-30_16-13-11-740286,1686651,39,
1691718,1691753,2022-12-30_16-13-16-962724,1691756,35,
1696825,1696850,2022-12-30_16-13-22-185140,1696853,25,
1701929,1701953,2022-12-30_16-13-27-408153,1701955,24,
1707034,1707155,2022-12-30_16-13-32-730456,1712155,121,
1712166,1712186,2022-12-30_16-13-37-883951,1712189,20,
1717266,1717285,2022-12-30_16-13-43-107830,1717288,19,
1722443,1722462,2022-12-30_16-13-48-402901,1722465,19,
1727580,1727601,2022-12-30_16-13-53-667642,1727605,21,
1732740,1732759,2022-12-30_16-13-58-944450,1732762,19,
1737872,1737892,2022-12-30_16-14-04-198875,1737895,20,
1742987,1743057,2022-12-30_16-14-09-492368,1743059,70,
1748097,1748159,2022-12-30_16-14-14-716359,1748164,62,
1753204,1753255,2022-12-30_16-14-19-938702,1753260,51,
1758304,1758324,2022-12-30_16-14-25-124726,1758327,20,
1763421,1763460,2022-12-30_16-14-30-382193,1763463,39,
1768529,1768563,2022-12-30_16-14-35-607528,1768566,34,
1773637,1773667,2022-12-30_16-14-40-822879,1773670,30,
1778742,1778765,2022-12-30_16-14-46-049025,1778768,23,
1783854,1783874,2022-12-30_16-14-51-284069,1783877,20,
1788964,1788984,2022-12-30_16-14-56-512725,1788987,20,
1794108,1794128,2022-12-30_16-15-01-781367,1794131,20,
1799226,1799268,2022-12-30_16-15-07-042441,1799271,42,
1804332,1804374,2022-12-30_16-15-12-265747,1804377,42,
1809434,1809453,2022-12-30_16-15-17-468942,1809456,19,
1814580,1814601,2022-12-30_16-15-22-737448,1814603,21,
1819688,1819771,2022-12-30_16-15-28-034844,1819776,83,
1824797,1824877,2022-12-30_16-15-33-256997,1824883,80,
1829905,1829926,2022-12-30_16-15-38-424962,1829928,21,
1835021,1835076,2022-12-30_16-15-43-701300,1835081,55,
1840159,1840179,2022-12-30_16-15-48-923562,1840181,20,
1845261,1845287,2022-12-30_16-15-54-157369,1845290,26,
1850420,1850479,2022-12-30_16-15-59-470605,1850482,59,
1855557,1855588,2022-12-30_16-16-04-695355,1855590,31,
1860659,1860686,2022-12-30_16-16-09-926845,1860689,27,
1865794,1865816,2022-12-30_16-16-15-176256,1865818,22,
1870907,1870980,2022-12-30_16-16-20-464465,1870983,73,
1876020,1876083,2022-12-30_16-16-25-685361,1876086,63,
1881133,1881180,2022-12-30_16-16-30-909758,1881183,47,
1886244,1886263,2022-12-30_16-16-36-110241,1886267,19,
1891362,1891383,2022-12-30_16-16-41-350426,1891385,21,
1896467,1896488,2022-12-30_16-16-46-581332,1896491,21,
1901616,1901691,2022-12-30_16-16-51-904173,1901696,75,
1906760,1906797,2022-12-30_16-16-57-124862,1906802,37,
1911907,1911993,2022-12-30_16-17-02-448019,1911996,86,
1917044,1917090,2022-12-30_16-17-07-665555,1917093,46,
1922184,1922203,2022-12-30_16-17-12-898225,1922206,19,
1927349,1927392,2022-12-30_16-17-18-219368,1927397,43,
1932489,1932509,2022-12-30_16-17-23-452437,1932512,20,
1937603,1937622,2022-12-30_16-17-28-687521,1937626,19,
1942718,1942789,2022-12-30_16-17-33-980177,1942792,71,
1947818,1947841,2022-12-30_16-17-39-150021,1947843,23,
