LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
7.610000,4136334.000,51590,3,PG,1,100,10116
7.648500,4136372.500,51607,2,PG,1,100,10095
7.687000,4136411.000,51607,2,PG,1,100,10082
7.726000,4136450.000,51622,3,PG,1,100,10090
7.765000,4136489.000,51622,3,PG,1,100,10084
7.804000,4136528.000,51622,3,PG,1,100,10079
7.850000,4136574.000,51637,2,PG,1,100,10071
7.896000,4136620.000,51637,2,PG,1,100,10034
7.934000,4136658.000,51653,3,PG,1,100,9994
7.972000,4136696.000,51653,3,PG,1,100,9957
8.010000,4136734.000,51653,3,PG,1,100,9941
8.049000,4136773.000,51671,2,PG,1,100,9951
8.088000,4136812.000,51671,2,PG,1,100,9963
8.127667,4136851.667,51686,3,PG,1,100,9964
8.167333,4136891.333,51686,3,PG,1,100,9976
8.207000,4136931.000,51686,3,PG,1,100,9986
8.247000,4136971.000,51702,2,PG,1,100,9999
